idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Victorinox AG.,Victorinox AG,0.0010051727294921,3.141036033630371,0.9881429076194764,1.0,1.0,BusyBox software has been compared to a mutli-tool pocket knife manufactured by what company?,1
1,Pumping Iron (1977) was made before My Generation (2000).,Pumping Iron,0.0009481906890869,0.9096522331237792,0.6954585909843445,0.3636363636363636,0.3636363636363636,"Which documentary is the oldest, Buy Bye Beauty or Pumping Iron?",0
2,"Steve Albini wrote the album ""Cago"" for Dead Man Ray, which was used in the movie ""A Pub With No Beer"".",Frank Cottrell Boyce,0.0008566379547119,1.3394677639007568,0.1891580820083618,0.0,0.0,"Who wrote the movie in which the song ""Nirvana"" was used?",0
3,2000.,2000,0.0009808540344238,0.4947350025177002,0.9515540599822998,1.0,1.0,"Stags' Leap Winery in California, was purchased by Australian beer group with interests in brewing and soft drinks in what year?",1
4,"""The Office"".",The Office,0.0008833408355712,0.4677174091339111,0.8779075741767883,1.0,1.0,"Knucklehead is a film starring an actress born June 29, 1967 known for her role on NBC's show called what?",1
5,"Jeremy Soule and James Hannigan wrote the music for the ""Harry Potter"" video games.",Jeremy Soule and James Hannigan,0.0009188652038574,1.011404275894165,0.58942049741745,0.5263157894736842,0.5263157894736842,"Who wrote the music for the video games, which are based on the movies which Alexandre Desplat wrote the musical scores for?",1
6,"RITA Award, named for Rita Clay Estrada.",Rita Clay Estrada,0.0008537769317626,0.7218947410583496,0.8312510251998901,0.6,0.6,Lorraine Heath is an author who received an award named for who?,1
7,Z GT two-seat coupes.,Nissan Z-car,0.0009105205535888,0.5812368392944336,0.71917724609375,0.25,0.25,The Nissan S30 was the first generation of this sports car manufactured since 1969?,0
8,Academy Award nomination for Best Adapted Screenplay.,Best Adapted Screenplay,0.000939130783081,0.6591601371765137,0.8339592218399048,0.6,0.6,"Phyllis Nagy received what Award Nomination for her screenplay based on the 1952 romance novel ""The Price of Salt""?",1
9,Madrid Motor Show.,the Madrid Motor Show,0.00093674659729,0.4362657070159912,0.9846688508987428,0.8571428571428571,0.8571428571428571,Where was the  Citroën vehicle designed with influences from what is called a beach buggy in the United Kingdom presented?,1
10,The film is not mentioned in the given context.,The Iron Giant,0.0008800029754638,0.6903367042541504,0.1875616610050201,0.1666666666666666,0.1666666666666666,Which 1999 American sci-fi comedy-drama was produced and directed by Brad Bird and edited by Darren T. Holmes?,0
11,Walt Disney,Walt Disney,0.0008614063262939,0.3249273300170898,1.0000001192092896,1.0,1.0,Who produced The Shaggy D.A. and Tarzan?,1
12,The Backstreet Boys.,"Orlando, Florida",0.0009357929229736,0.5063409805297852,0.1693489849567413,0.0,0.0,Welcome Home was written by a former member of a boy band - where was that band formed?,0
13,"May 1, 1954.",1 May 1954,0.0008995532989501,0.6390433311462402,0.9601240158081056,1.0,0.6666666666666666,Tetsu was conceived by a chef born on which day ?,1
14,Edie Adams.,Edie Adams,0.0008654594421386,0.4723944664001465,0.9855138659477234,1.0,1.0,"Under the Yum Yum Tree starred this actress who was born in April, 1927?",1
15,Ron Underwood.,Ron Underwood,0.0008518695831298,0.4710237979888916,0.9743516445159912,1.0,1.0,Who directed the film in which Ariana Richards played the character Mindy Sterngood?,1
