idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, The Great Boston Fire of 1872.,The Great Boston Fire of 1872,0.0713279247283935,14.95623517036438,0.9896929264068604,1.0,1.0,What famous disaster happened in Boston in 1872?,1
1, 3%,3%,0.2546131610870361,13.956685781478882,1.0000001192092896,1.0,1.0,How many Namibian's speak English?,1
2, Subjective Idealism,Subjective Idealism,0.1525163650512695,14.165062665939333,1.0000001192092896,1.0,1.0,What school of thought did Berkeley belong to?,1
3, The Back Bay.,the Back Bay,0.0691065788269043,14.117192268371582,0.9847224354743958,1.0,1.0,The Boston Public Library is located in what part of Boston?,1
4, 33%,33%,0.1049914360046386,13.973750591278076,1.000000238418579,1.0,1.0,What percent vertical resolution increase did Squeeze LDs feature over regular widescreen LDs?,1
5, Kierkegaard,Kierkegaard,0.0750541687011718,14.105555534362791,1.0,1.0,1.0,"Along with Hegel, who also argued for human incompleteness?",1
6, The EPA.,the EPA,0.0900876522064209,13.943768739700316,0.9789309501647948,1.0,1.0,Who sponsored the Green Power Partnership?,1
7, Yiddish,Yiddish,0.0851268768310546,13.938385725021362,1.0,1.0,1.0,What other language besides French and German are part of the Aslation-French dialect of today?,1
8," The people of Boston reacted vociferously to the demolition of the West End, with extensive public opposition.",with vociferous public opposition.,0.0764229297637939,16.947120428085327,0.4305022954940796,0.3809523809523809,0.2857142857142857,How did the people of Boston react to the demolition of the West End?,1
9, 11th century,11th century,0.2808034420013428,14.109094142913818,1.0000001192092896,1.0,1.0,In what century had mills such as gristmills and sawmills dominate the Islamic world?,1
10," 655,884","655,884",0.0656585693359375,14.117722749710085,1.0,1.0,1.0,What was the population of Boston in 2014,1
11, 45,45,0.215876817703247,13.753487586975098,1.0000001192092896,1.0,1.0,How old was Yongzheng when he took over?,1
12, Approximately one-third of the population of Brookline and Newton are Jewish.,one-third,0.0724127292633056,15.932302951812744,0.1356753557920456,0.2857142857142857,0.2857142857142857,During the height of the Cretaceous transgression how much of the earths land mass was under water?,0
13, 160,160,0.0751528739929199,13.715834856033323,1.0000001192092896,1.0,1.0,How many square kilometers is Richmond?,1
14, the cradle of Germanic tribes,cradle of Germanic tribes,0.0674242973327636,14.653153657913208,0.9884954690933228,0.888888888888889,0.888888888888889,"Ashkenaz is linked to Scandza/Scanzia, which is viewed as what?",1
15, Boston,Boston,0.0663304328918457,13.5690598487854,1.0,1.0,1.0,What city does San Diego come in second to in the biotech industry?,1
16," Sephardic communities, particularly from the Syrian Jewish community.",Syrian Jewish community,0.0876250267028808,15.465708017349243,0.7890723943710327,0.5454545454545454,0.5454545454545454,"Most people with the surname Ashkenazi, hail from which particular community?",1
17, The abolitionist movement.,the abolitionist movement,0.2648789882659912,14.265742540359495,0.9832311868667604,1.0,1.0,What movement did Boston become the center of after it stopped slave trade?,1
18, Bank of America,Bank of America,0.0870883464813232,13.928541660308838,1.0000001192092896,1.0,1.0,Who bought FleetBoston Financial?,1
19, The idea that the Ashkenazi may have come from Khazar stock surfaced in the later 19th century.,in the later 19th century,0.2646727561950683,17.44658064842224,0.3703518211841583,0.4545454545454545,0.4545454545454545,When did the idea that the Ashkenazi may have come from Khazar stock come about?,1
20," 175,000+","175,000+",0.1074662208557128,14.285972595214844,1.0,1.0,1.0,How many Puerto Rican hispanics live in greater Boston?,1
21, Back Bay at the Mother Church (1894),Back Bay,0.0749049186706543,15.152584075927734,0.551262378692627,0.4444444444444445,0.4444444444444445,Where do Amtrack's Northeast corridor and Chicago lines end?,0
22, The City of Boston.,a city,0.0781352519989013,14.253159761428831,0.6033048033714294,0.3333333333333333,0.3333333333333333,Boston was chartered as what in 1822?,1
23, Massachusetts.,Massachusetts,0.0732617378234863,13.77011227607727,0.9563392400741576,1.0,1.0,What was Elbridge Gerry's constituency? ,1
24, Boston has been a noted religious center from its earliest days.,from its earliest days,0.0712769031524658,15.515928983688354,0.2342173904180526,0.5333333333333333,0.5333333333333333,How long has Boston been a religious center?,1
25, 1750,1750,0.254317045211792,13.980580806732178,1.0,1.0,1.0,Prior to what year was the Patterson-Schutte House built?,0
26, Over 20 million visitors per year.,20 million,0.0684359073638916,14.826898336410522,0.630460262298584,0.5,0.5,How many copies worldwide has Queen's 1995 album sold?,0
27, 36th worldwide in quality of living in 2011 in a survey of 221 major cities.,high,0.0786941051483154,17.099525213241577,0.1610282510519027,0.0,0.0,What is hunting pressure from?,0
28, The city's ethnic composition.,the city's ethnic composition,0.0693335533142089,14.419218063354492,0.9908846616744996,1.0,1.0,The first Europen immigrants arrival changed what in Boston?,1
29, state politics.,state politics,0.0697348117828369,13.969432830810549,0.9563447833061218,1.0,1.0,"As the state capital, Boston plays a large role in what?",1
30, The theater District is located south of Boston Common.,south of Boston Common,0.0819716453552246,15.070081233978271,0.7115889191627502,0.6153846153846153,0.6153846153846153,Where is the theater District located?,1
31, 89.6 square miles (232.1 km2),89.6 square miles,0.0776014328002929,15.684389114379885,0.8889633417129517,0.7272727272727273,0.7272727272727273,What is the total area of Boston?,1
32, Every 4 years.,every fourth year,0.073305606842041,14.299016952514648,0.8580735921859741,0.6666666666666666,0.6666666666666666,How often are elections for mayor held in Boston?,1
33," The Boston School Committee, which is appointed by the mayor.",The School Committee,0.0691730976104736,15.435652256011965,0.6678533554077148,0.4615384615384615,0.4615384615384615,Who oversees the Boston Public Schools?,1
34, Venture capital.,venture capital investment,0.0748894214630127,13.952311515808104,0.8629215955734253,0.8,0.8,Route 128 and Greater Boston are centers for what type of investment?,1
35, Sakanoue no Tamuramaro,Sakanoue no Tamuramaro,0.2595503330230713,14.991453647613524,1.0,1.0,1.0,What was the name of the new commander Kanmu appointed in the year 797?,1
36," 57,000","57,000",0.0730617046356201,14.136707067489624,1.0,1.0,1.0,How many students are in Boston Public schools?,1
37, 10.1%,10.1%,0.0799081325531005,14.277726888656616,1.0,1.0,1.0,What percentage of the City of Boston's residents are over 65?,1
38, The Levant.,the Levant,0.102391242980957,14.146002531051636,0.9739600419998168,1.0,1.0,Recent studies have found that contemporary Jews (excluding Indian and Ethiopian Jews) have a close genetic relationship to the people of what area?,1
39, Hanscom Field,Beverly Municipal Airport,0.0785775184631347,13.943775415420532,0.0280123129487037,0.0,0.0,What airport is North of Logan Airport?,0
40, the language of Ashkenaz and the country of Ashkenaz.,both the language of Ashkenaz and the country of Ashkenaz,0.08624267578125,15.826361417770386,0.979971408843994,0.9473684210526316,0.9473684210526316,"In the latter half of the 11th century, Rashi refers to what two things?",1
41, McTaggart believes space and time to be unreal.,unreal,0.2643659114837646,15.381328582763672,0.2610702514648437,0.2222222222222222,0.2222222222222222,What does McTaggart believe space and time to be?,1
42, The Christian Science Monitor publishes their magazine weekly.,weekly,0.0707316398620605,14.921024799346924,0.429979532957077,0.2222222222222222,0.2222222222222222,How often does Friday Cheers take place on Brown's Island?,0
43, Hermann Lotze,Hermann Lotze,0.0763523578643798,14.117351770401,1.0000001192092896,1.0,1.0,"What notable idealist was responsible for a ""world ground"" theory?",1
44, Yiddish,Yiddish,0.1046924591064453,13.98333740234375,1.0,1.0,1.0,What other language besides French and German are part of the Aslation-French dialect of today?,1
45, The Fujiwara clan.,Fujiwara,0.0689473152160644,14.430625677108765,0.779144287109375,0.5,0.5,Succession to the throne was determined by what clan?,1
46, 39,39,0.0664906501770019,13.754505395889282,1.0,1.0,1.0,How many days did the recount after the 2000 US election last for?,1
47, 8.3%,8.3%,0.0764796733856201,14.29206109046936,1.0,1.0,1.0,How much growth did the IMF expect Nigeria's economy to have in 2009?,1
48, the practice of the beth din that converted him or her.,the practice of the beth din that converted him or her,0.0713915824890136,15.63376808166504,0.9781124591827391,1.0,1.0,A convert generally follows which practice?,1
