idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,"There is no information about a movie called ""9"". The question is incomplete.",9,0.0010051727294921,2.136005401611328,0.5197875499725342,0.1428571428571428,0.1428571428571428,"How many miles north of Columbus, Mississippi is the base where the 736th Bombardment Squadron was stationed?",0
1,"Lisbon, Portugal.","Lisbon, Portugal",0.0009961128234863,0.4462542533874511,0.9745273590087892,1.0,1.0,João António dos Anjos Rocha is the president of a sports club based in what city?,1
2,China and Europe.,East Asia and Europe,0.0008771419525146,0.4779005050659179,0.7013775110244751,0.5714285714285715,0.5714285714285715,The Yiwu - Madrid Railway line is one of the routes that are rail links between what two land masses?,1
3,Spencer Halpin's Moral Kombat.,Spencer Halpin's Moral Kombat,0.0008738040924072,0.6233253479003906,0.9893734455108644,1.0,1.0,"What movie, For the Bible Tells Me So or Spencer Halpin's Moral Kombat, changed the name of the title to avoid the risk of a lawsuit?",1
4,Pennsylvania.,Pennsylvania,0.000901460647583,0.4262516498565674,0.9627590775489808,1.0,1.0,"Main Line Method is a band from Downingtown, Pennsylvania, the name comes from the Philadelphia area ""Main Line"", known simply as the Main Line, is an informally delineated historical and social region of suburban Philadelphia, in which state?",1
5,X,Seaweed,0.0007350444793701,0.3661835193634033,0.1811840385198593,0.0,0.0,"Which of the bands Seaweed and Blonde Redhead came from Tacoma, Washington?",0
6,Film.,film,0.0007400512695312,0.3775384426116943,0.8702664375305176,1.0,1.0,"Food, Inc. and Triumph of the Will, are which form of entertainment?",1
7,73.,73,0.000687837600708,0.4082074165344238,0.9425024390220642,1.0,1.0,"Andrea Marko's cousin became Albanian's most ever capped player, which how many caps from 1990 to 2005?",1
8,TEG (1976) is older than Diamond (1985).,TEG,0.0007052421569824,0.8784730434417725,0.5160171985626221,0.25,0.25,"Which was published first, TEG or TransAmerica?",0
9,"March 24, 2017.","March 24, 2017",0.0007290840148925,0.653266191482544,0.9746175408363342,1.0,1.0,"The ""DM World Tour"" is the third concert tour by Mexican popstar Dulce María, the tour began on which date?",1
10,Mimi Marquez.,Mimi Marquez,0.0008273124694824,0.508314847946167,0.9833440780639648,1.0,1.0,"Which role did the only non-American from Pajama Party originate in the Broadway musical ""Rent""?",1
11,Ty Cobb.,The Georgia Peach,0.0008866786956787,0.4438345432281494,0.2092522978782653,0.0,0.0,Ty Cobb who retired in Cornelia Georgia after becoming a baseball legend was nicknamed what?,0
12,The Stratton Story.,"""The Stratton Story""",0.0007414817810058,0.539344310760498,0.9635250568389891,1.0,1.0,"What movie was made depicting the life of the ballplayer nicknamed ""Gander""?",1
13,Sony Interactive Entertainment.,Sony Computer Entertainment,0.0009491443634033,0.500744104385376,0.8972200751304626,0.6666666666666666,0.6666666666666666,"XLink Kai is a method developed by Team-XLink for online play of certain System Link compatible video games, it enables players on various consoles, including The PlayStation 2 (PS2), a home video game console that was developed by which company?",0
14,The Tulsa Sound.,The Tulsa Sound,0.0007710456848144,0.4494409561157226,0.9854884147644044,1.0,1.0,To Tulsa and Back is by an artist who is considered one of the originators of what genre?,1
15,Keane.,Keane,0.000756025314331,0.4445815086364746,0.9721700549125672,1.0,1.0,"The Wave is the debut solo studio album by the English singer-songwriter Tom Chaplin, best known as the lead singer of which British pop rock band?",1
16,The CW.,CW,0.0007684230804443,0.4117491245269775,0.9022610783576964,0.6666666666666666,0.6666666666666666,"What channel ran a drama series September 16, 2009 to September 23, 2009 starring British-American film, television, and stage actress, and occasional fashion model who plaed in ""Notting Hill?",1
17,1864-1881.,1864 to 1881,0.0007503032684326,0.6135294437408447,0.9513109922409058,0.8,0.8,When did Augusta Stanley's husband serve as Dean of Wesminster?,1
18,"862,044.","862,044",0.0007791519165039,0.5400485992431641,0.9812744855880736,1.0,1.0,What is the capital city's population of the Brazilian state in which Redinha beach is located?,1
19,Eric Greitens.,Todd P. Graves,0.0007853507995605,0.5202202796936035,0.3800873756408691,0.0,0.0,"On December 13, 2016 the second youngest Governor in the US endorsed who for Chairman of the Missouri Republican Party?",0
20,Atlanta United.,Atlanta United,0.0007970333099365,0.4622371196746826,0.979720175266266,1.0,1.0,"Tyrone Mears, is an English professional footballer who plays as a right-back for which team, in Major League Soccer, his previous clubs include Burnley F.C., a professional association football club based in Burnley, Lancashire?",1
21,Volvo 200 Series.,Volvo 200 Series,0.0008645057678222,0.4397041797637939,0.9693906903266908,1.0,1.0,What was the line of cars called that were produced from 1974 to 1993 that included the Volva 262C?,1
22,Dennis Cometti.,Dennis Cometti,0.0008597373962402,0.4811742305755615,0.9852661490440368,1.0,1.0,AFL Premiership 2006 included commentary by what  Australian sports commentator and a former player and coach of Australian rules football,1
23,Scott Kelly.,Scott Kelly,0.0008044242858886,0.4443409442901611,0.9746841192245485,1.0,1.0,Who was the retired American astronaut who transferred from Expedition 44 to 45 on the International Space Station?,1
24,FanMail.,FanMail,0.0008721351623535,0.4623322486877441,0.9490774869918824,1.0,1.0,Avi Wisnia won the OutMusic Award for Outstanding Jazz Song in 2009 for the cover of a TLC song from which 1999 album?,1
25,New York.,New York,0.0007951259613037,0.405623197555542,0.964856505393982,1.0,1.0,"101 Park Avenue and 55 Water Street, are located in which state?",1
26,Wonder Woman.,Wonder Woman,0.0007851123809814,0.4433169364929199,0.9659547805786132,1.0,1.0,Who is a ficitional superhero that appeared in DC Comics and had Rama as a potential love interest?,1
27,Bayern Munich.,Bayern Munich,0.0008587837219238,0.4680392742156982,0.973852515220642,1.0,1.0,"Memphis Depay is a Dutch professional footballer, who plays as a winger for French club Lyon and the Netherlands national team, considered to be one of the brightest young talents in European football, and the most exciting young player to emerge from the Eredivisie since compatriot Arjen Robben, is a Dutch professional footballer who plays for which German club?",0
28,The Union Navy used the USS Maria A. Wood to patrol the navigable waterways of the Confederate States of America.,Union Navy,0.0007572174072265,1.2289388179779053,0.4756977558135986,0.1818181818181818,0.1818181818181818,What institution used the Maria A Wook to patrol navigable waterways of the unrecognized country in North American that existed in 1861 to 1865?,1
29,Plan B Entertainment.,Plan B Entertainment,0.0007998943328857,0.502077579498291,0.9798914194107056,1.0,1.0,What company is the male star of By the Sea a producer for?,1
30,Darkness Falls.,Joe Harris and John Fasano,0.0007429122924804,0.4153032302856445,0.087839275598526,0.0,0.0,Who wrote the horror film Jenny Lovell appeared in?,0
31,1962.,1962,0.0008714199066162,0.5028984546661377,0.9593217968940736,1.0,1.0,The founder of the techno record label Metroplex was born in what year?,1
