idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, The Mozilla Foundation.,Mozilla Foundation,0.0546526908874511,5.294617414474487,0.9259703159332277,0.8,0.8,What did Netscape launch in 1998?,1
1, January 2009,January 2009,0.0528216361999511,5.278260707855225,1.0,1.0,1.0,When did the European Commission say they would investigate the bundling?,1
2, Transistors.,transistors,0.0464706420898437,5.269020318984985,0.9459264278411864,1.0,1.0,Vacuum tubes in early computers were replaced by what?,1
3, A byte.,a byte,0.0523879528045654,5.187012910842896,0.9634421467781068,1.0,1.0,A group of 8 bits is called what?,1
4, Quantum computers can potentially break some modern encryption algorithms quickly through quantum factoring.,quantum factoring,0.0469908714294433,6.335550546646118,0.6707552075386047,0.2666666666666667,0.2666666666666667,By what method do quantum computers solve encryption algorithms quickly?,1
5, Richard Braithwait,Richard Braithwait,0.0468730926513671,5.265986204147339,1.0,1.0,1.0,"Who was the author of the book, The Yong Mans Gleanings?",1
6, The Z3.,the Z3,0.0597751140594482,5.259369373321533,0.983423113822937,1.0,1.0,"What was the first automatic, digital, programmable computer created by Konrad Zuse?",1
7, 5,a record five,0.0469791889190673,5.062766790390015,0.642279863357544,0.0,0.0,How many consecutive losses has the Liberal party faced since the 2002 election?,1
8, The United States Navy.,the United States Navy,0.0471115112304687,5.376355171203613,0.9767524600028992,1.0,1.0,What part of the US military developed an electromechanical analog computer to use on a submarine?,1
9, World War II,"World War II,",0.0465719699859619,5.170614004135132,0.9658671021461488,1.0,1.0,During what war were computers first used for military applications?,1
10, The computer.,programmer error or an oversight made in the program's design,0.0462760925292968,5.186593294143677,0.2348547428846359,0.1538461538461538,0.1538461538461538,Bugs are usually the fault of whom or what?,0
11, Persia (modern-day Iran),Persia,0.046095848083496,5.563289642333984,0.8773918747901917,0.4,0.4,What has the West historically referred Iran as?,1
12, Silicon.,photolithographed semiconductors,0.0458698272705078,5.08606481552124,0.2897394895553589,0.0,0.0,Transistors are typically made up of what today?,0
13, The 1967 Referendum.,1967 Referendum,0.0458238124847412,5.57004714012146,0.9671088457107544,0.8,0.8,Which Referendum allowed Indigenous Australians to be counted in the Census?,1
14, September 1947,September 1947,0.0462856292724609,5.268015861511231,1.0,1.0,1.0,When was Grace Hopper's Hardvard Mark II shorted by a moth?,1
15, The University of Pennsylvania.,University of Pennsylvania,0.0693755149841308,5.365079879760742,0.9653996229171752,0.8571428571428571,0.8571428571428571,Where was ENIAC located?,1
16, SAGE system,SAGE system,0.063256025314331,5.177356004714966,1.000000238418579,1.0,1.0,What system of the U.S. military's was the first large-scale system to coordinate information between several locations?,1
17, Max Newman,Flowers,0.0563759803771972,5.076194047927856,0.1279065012931823,0.0,0.0,Who built the first Colossus in 1943?,0
18, 1936,1936,0.0501406192779541,5.177452564239502,1.0000001192092896,1.0,1.0,In what year was Studio Misr founded?,1
19, Problems with interoperability.,problems with interoperability,0.0878322124481201,5.3670654296875,0.9787808060646056,1.0,1.0,Non-standard dialects led to what?,1
20, A severe drought.,a severe drought,0.0497105121612548,5.262224912643433,0.978617787361145,1.0,1.0,What environmental consequence affected the Australian economy by 1983?,1
