idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, United Utilities,United Utilities,0.2957627773284912,22.715322971344,1.0,1.0,1.0,"The Jumbles Reservoir is a heavily modified, high alkalinity, shallow reservoir in North West England, since privatisation the reservoir is now owned by United Utilities Group PLC (UU), the United Kingdom's largest listed water company, was founded in 1995, is commonly know by the public as what?",1
1, Crazy Town,rap rock band,0.3515074253082275,22.75061559677124,0.3093838393688202,0.0,0.0,"""Starry Eyed Surprise"" is a song featuring vocals by an American music artist who is the front man of what kind of band?",1
2, Yes.,yes,0.3258140087127685,22.77272748947144,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
3, Adelaide,Adelaide,0.3456428050994873,22.44292020797729,1.0000001192092896,1.0,1.0,"What is the name of this only interstate railway station in South Australia, where Silver City Limited operated between it and Broken Hill?",1
4, Volkswagen emissions scandal.,Volkswagen emissions scandal,0.3399357795715332,23.22713565826416,0.9538860321044922,1.0,1.0,"What started on 18 September 2015, when the United States Environmental Protection Agency (EPA) issued a notice of violation of the Clean Air Act to German automaker Volkswagen Group, that had an American attorney, specializing in mediation and alternative dispute resolution oversee their U.S. compensation of VW diesel owners affected?",1
5, Milt Wagner,"Milton ""Milt"" Wagner",0.3444390296936035,22.94319224357605,0.8554137945175171,0.8,0.8,Dajuan Wagner is the son of which former assistant Auburn coach?,1
6, Yes.,yes,0.3367030620574951,22.76484966278076,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
7, Burma VJ,Burma VJ,0.3402669429779053,22.96382427215576,0.9999999403953552,1.0,1.0,"Which documentary, Diana's Hair Ego or Burma VJ, follows the Saffron Revolution against the military regime in Burma?",1
8, Filmmaker,filmmaker,0.3435449600219726,23.03172326087952,1.0,1.0,1.0,"Michelangelo Antonioni and Tinto Brass, are Italian of which occupation?",1
9, LaMarcus Aldridge,LaMarcus Aldridge,0.4165940284729004,23.250895023345947,1.0,1.0,1.0,"Who is an American professional basketball player, Marlon Hairston or LaMarcus Aldridge?",1
10, The Great Falls Voyagers.,Great Falls Voyagers,0.2932667732238769,23.6535804271698,0.9486392736434937,0.8571428571428571,0.8571428571428571,What baseball team calls Centene Stadium home?,1
11, Bleeding Through,Of Mice & Men,0.4019052982330322,22.91849493980408,0.1249140426516532,0.0,0.0,"what is the name of an American metalcore band from Orange County, California?",0
12, American,German-American,0.3317477703094482,22.53709506988525,0.7118151187896729,0.6666666666666666,0.6666666666666666,Mundell Lowe has worked with the pianist and conductor of what dual nationality?,0
13, Hava Nagila,Hava Nagila,0.3432879447937011,22.912744522094727,1.0,1.0,1.0,Which Israeli folk song is featured on Scottish bagpipes for the soundtrack album from Monty Python's Life of Brian?,1
14, India,India,0.3406140804290771,22.566548109054565,1.0,1.0,1.0,What country is home to both Don and Priyanka Chopra?,1
15, No.,no,0.3349635601043701,22.7340190410614,0.8128341436386108,1.0,1.0,Are Chris Marker and Yvonne Rainer American?,0
16, Columbia Games,Columbia Games,0.3591535091400146,22.7907235622406,1.0,1.0,1.0, What company publishes the campaign setting in which Keléstia Productions produces materials for?,1
17, Terry Crews,Terry Crews,0.3290083408355713,23.01029348373413,1.0,1.0,1.0,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",1
18, Josh Hopkins,Josh Hopkins,0.3491744995117187,22.6635217666626,1.0000001192092896,1.0,1.0,"What season one regular cast member of ""Cougar Town"" was also in ""Quantico""?",1
19, DJ BoBo,René Baumann,0.3396971225738525,22.992621660232544,0.3008401393890381,0.0,0.0,What is given name of the artist who was selected by Switzerland for the Eurovision Song Contest 2007?,1
20," Sydney, Australia",Sydney,0.3400602340698242,23.00679540634156,0.9122502207756042,0.6666666666666666,0.6666666666666666,Which city is located south of the council formed during amalgamation of Gosford and Wyong  and 60km from Mooney Mooney Creek?,1
21, Penny Dreadful,"""Penny Dreadful""",0.3470244407653808,22.98513650894165,0.9548311233520508,1.0,1.0,Sarah Green starred in the 2014 film Noble and what Showtime and Sky series?,1
22, Tom Sawyer Island,Tom Sawyer Island,0.3445959091186523,23.050112009048465,1.0,1.0,1.0,What is the name of the artificial island surrounded by a river at the Magic kingdom?,1
23, Out of Sight,Out of Sight,0.2610712051391601,23.03876042366028,1.0,1.0,1.0,"In 1998, Lopez starred alongside George Clooney in which 1998 American crime comedy film directed by Steven Soderbergh and written by Scott Frank, adapted from Elmore Leonard's novel of the same name?",1
24, 1998,1998,0.3470215797424316,23.030564546585083,1.0,1.0,1.0,When was the inception of J. D. Martinez' team?,1
25, Professional tennis player.,tennis player,0.3283758163452148,23.21611714363098,0.9351492524147034,0.8,0.8,"Gabriela Sabatini and Patrick McEnroe, are professionals of which sports occupation?",1
26, Kyushu,Kyushu,0.3471367359161377,22.979128122329712,1.0,1.0,1.0,Enola Gay was one of the bombers that targeted the largest city on what Japanese island?,0
27, The Office,The Office,0.3417408466339111,22.74000740051269,1.0,1.0,1.0,"Knucklehead is a film starring an actress born June 29, 1967 known for her role on NBC's show called what?",1
28, 9 November 2012,9 November 2012,0.3439757823944092,23.72869348526001,1.0000001192092896,1.0,1.0,"""On Top"" was released as the first single from Harley Edward Streten, known professionally as Flume, an Australian record producer, musician and DJ, his self-titled debut studio album, ""Flume"", was released on which date?",1
29," They both appeared on ""The Colbert Report"".",character,0.3467931747436523,24.28495454788208,0.0769291147589683,0.0,0.0,"What does Stephen Colbert presidential campaign, 2008 and Aragorn have in common?",0
30, English,English,0.3528409004211426,22.43522620201111,1.0,1.0,1.0,What language is spoken at both Lipscomb University and University of Debrecen?,1
31, Dharug,Darug,0.3430042266845703,23.1067898273468,0.3402103781700134,0.0,0.0,"Wallaroo is any of three closely related species of moderately large macropod, intermediate in size between the kangaroos and the wallabies, the  word ""wallaroo"" is from which Australian Aboriginal language of the Yuin–Kuric group that is spoken in the region of Sydney, New South Wales, ""walaru""?",1
