idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0," No, they do not have the same drummer.",no,0.0004973411560058,1.5153594017028809,0.1592845916748047,0.2222222222222222,0.2222222222222222,Are Chris Marker and Yvonne Rainer American?,0
1, Adelaide,Playford,0.0005028247833251,0.273165225982666,0.4150222837924957,0.0,0.0,The Electoral district of Napier includes a northern suburb of Adelaide in what city?,0
2, Rahm Emanuel,Rahm Emanuel,0.0004711151123046,0.5369081497192383,1.0,1.0,1.0,"mHUB is Chicago’s innovation center for physical product development and manufacturing, which American politician who is the 44th and current mayor of Chicago, kickstarted mHUB in early 2017?",1
3, 1979,"January 12, 1979",0.0004942417144775,0.5374581813812256,0.8470988273620605,0.5,0.5,"Ballad of Seodong is a South Korean television series starring Jo Hyun-jae, Ryu Jin and Lee Bo-young, a South Korean actress, born when?",0
4, Croatia.,Croatia,0.0005006790161132,0.4371368885040283,0.9537026882171632,1.0,1.0,"The 2012–13 FC Bayern Munich season was the 114th season in the club's history and the 48th consecutive season in the top flight of German football, the Bundesliga, before the start of the season, Bayern signed Mario Mandžukić, a Croatian professional footballer who plays as a forward for Italian club Juventus and the national team of which country?",1
5, parliamentary representation.,parliamentary representation,0.0004894733428955,0.5367600917816162,0.9578546285629272,1.0,1.0,The Sir Ralph Abercromby is the only structure remaining in St Peter's Field after cavalry charged into a crowd had gathered to demand the reform of what? ,1
6, Fox8,Fox8,0.0004849433898925,0.3993220329284668,1.0,1.0,1.0,What television channel did Melissa Juratowitch win Australia's Next Top Model?,1
7, Al Unser and Bobby Rahal.,Bobby Rahal,0.0004804134368896,1.1559104919433594,0.672402560710907,0.5714285714285715,0.5714285714285715,What 3 time champion podiumed at Mosport in 1981?,0
8, Yes.,yes,0.0004878044128417,0.3987722396850586,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
9, Pernod Ricard.,pastis,0.0004756450653076,0.904693603515625,0.2360074520111084,0.0,0.0,Allied Domecq PLC has been acquired by a French company that produces several other types of what?,0
10, Soulja Boy,Soulja Boy,0.0004851818084716,0.5244510173797607,1.0,1.0,1.0,Who worked with Rico Beats and also had a number-one hit for seven non-consecutive weeks in the United States?,1
11, Mickey's Once Upon a Christmas,Mickey's Once Upon a Christmas,0.0004851818084716,0.9158151149749756,1.0,1.0,1.0,Which 1999 Animated Feature Film winner at the 5th Kecskemet Animation Film Festival featured the voice of American voice actress Diane Michelle?,1
12, Rumkale,Rumkale,0.0004761219024658,0.5595293045043945,1.0,1.0,1.0,"The word qalat (kalata) is Persian and qal'at (qal‘a) is Arabic for 'fortified place', Qalats can range from castles like which location, to Adobe, a building material made from earth and often organic material?",1
13, 2008,2008,0.0004940032958984,0.5267415046691895,1.0,1.0,1.0,Lee Jang-woo became popular after being paired with Ham Eun-jung in a show that was first broadcast in what year?,1
14, Recipes for Disaster: An Anarchist Cookbook,Recipes for Disaster,0.0007219314575195,1.283047437667847,0.8054523468017578,0.6666666666666666,0.6666666666666666,Which anarchist book was  written by the CrimethInc ,1
15, Cybill Shepherd,Cybill Shepherd,0.0005161762237548,0.5375039577484131,1.0,1.0,1.0,"Which star of ""The Last Picture Show"" (1971) also starred in a film based on the the short story ""A Change of Plan"", written by Bruce Jay Friedman?",1
