idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,The Mozilla Foundation.,Mozilla Foundation,0.0009577274322509,1.9095826148986816,0.9259703159332277,0.8,0.8,What did Netscape launch in 1998?,1
1,January 2009.,January 2009,0.0010821819305419,0.7319939136505127,0.9733129739761353,1.0,1.0,When did the European Commission say they would investigate the bundling?,1
2,Transistors.,transistors,0.0009605884552001,0.6905324459075928,0.9459264278411864,1.0,1.0,Vacuum tubes in early computers were replaced by what?,1
3,A byte.,a byte,0.0009450912475585,0.6525990962982178,0.9634421467781068,1.0,1.0,A group of 8 bits is called what?,1
4,Quantum factoring.,quantum factoring,0.000974416732788,0.69400954246521,0.9782191514968872,1.0,1.0,By what method do quantum computers solve encryption algorithms quickly?,1
5,Richard Braithwait.,Richard Braithwait,0.0009617805480957,0.7377293109893799,0.9869220852851868,1.0,1.0,"Who was the author of the book, The Yong Mans Gleanings?",1
6,The Z3.,the Z3,0.0009870529174804,0.6970081329345703,0.983423113822937,1.0,1.0,"What was the first automatic, digital, programmable computer created by Konrad Zuse?",1
7,The Liberal Party has faced 5 consecutive losses as the opposition in South Australia since the 2002 election.,a record five,0.000995397567749,1.3953402042388916,0.248844102025032,0.0,0.0,How many consecutive losses has the Liberal party faced since the 2002 election?,1
8,The United States Navy.,the United States Navy,0.0009925365447998,0.7381429672241211,0.9767524600028992,1.0,1.0,What part of the US military developed an electromechanical analog computer to use on a submarine?,1
9,World War II.,"World War II,",0.0009815692901611,0.6958801746368408,0.9625085592269896,1.0,1.0,During what war were computers first used for military applications?,1
10,Programmer error or an oversight made in the program's design.,programmer error or an oversight made in the program's design,0.0009613037109375,1.0232179164886477,0.9279968738555908,1.0,1.0,Bugs are usually the fault of whom or what?,1
11,Persia (in 1235) by Abi Bakr of Isfahan.,Persia,0.0009913444519042,1.2591831684112549,0.7122883796691895,0.2222222222222222,0.2222222222222222,What has the West historically referred Iran as?,1
12,Photolithographed semiconductors.,photolithographed semiconductors,0.0009493827819824,0.8378691673278809,0.99155855178833,1.0,1.0,Transistors are typically made up of what today?,1
13,The 1967 Referendum.,1967 Referendum,0.000967264175415,0.8194525241851807,0.9671088457107544,0.8,0.8,Which Referendum allowed Indigenous Australians to be counted in the Census?,1
14,September 1947.,September 1947,0.0009849071502685,0.7380626201629639,0.9769178628921508,1.0,1.0,When was Grace Hopper's Hardvard Mark II shorted by a moth?,1
15,The University of Pennsylvania.,University of Pennsylvania,0.0009591579437255,0.7394068241119385,0.9653996229171752,0.8571428571428571,0.8571428571428571,Where was ENIAC located?,1
