idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,There is no information about a Turk born in 1238 in the provided context.,Turkish poet and Sufi mystic,0.2648944854736328,2.098410129547119,0.2758402526378631,0.0,0.0,What was the occupation of the Turk born in 1238 who has a name that is popular among Métis and Aboriginals in the Northwest of North America?,0
1,"January 25, 2008.","January 25, 2008",0.4497473239898681,0.530942440032959,0.986640453338623,1.0,1.0,When was the company incorporated that produced Heroes United?,1
2,Countess consort of Henneberg.,Countess consort of Henneberg,0.2925570011138916,0.5090620517730713,0.9783674478530884,1.0,1.0,"Beatrix de Courtenay held two titles, the first as Titular Countess of Edessa, a city in Upper Mesopotamia and an early centre of Syriac Christianity; what was her second title?",1
3,1970.,1970,0.4105937480926513,0.3541164398193359,0.9549062848091124,1.0,1.0, Ronald de Boer is the older twin brother of this Dutch former footballer born in what year?,1
4,Mantis.,Mantis,0.5713984966278076,0.3518240451812744,0.9689735770225524,1.0,1.0,What character who is a former member of the Avengers was played by Pom Klementieff in Guardians of the Galaxy Vol. 2?,1
5,New England Patriots.,New England Patriots,0.4851913452148437,0.3432786464691162,0.9739282131195068,1.0,1.0,On which NFL football team does one of the presenters for Crashletes play?,1
6,"Boone, Kenton, and Campbell counties.","Boone, Kenton and Campbell",0.6765894889831543,0.5466554164886475,0.8145750164985657,0.888888888888889,0.888888888888889,Which counties do the majority of Thomas Harold Massie's voters live?,1
7,The Quantum Fund.,Quantum Fund,0.2486531734466552,0.3624095916748047,0.939011812210083,0.8,0.8,Jim Rogers the Chairman of Rogers Holdings and Beeland Interests also started which fund in partnership with George Soros?,1
8,There is no information about a book being disseminated in 1998 in the given context.,J. S. La Fontaine,0.2925593852996826,0.8792309761047363,0.0572958961129188,0.0,0.0,Who wrote a scholarly book that was disseminated in 1998?,0
9,Yes.,yes,0.6016654968261719,0.312542200088501,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
10,"Viola Beach's song ""Boys That Sing"" was released through Fuller Beans Records.",Fuller Beans Records,0.4154212474822998,0.8957338333129883,0.5177021026611328,0.375,0.375,What record label released a song by a group that included the guitarist River Reeves?,1
11,American.,American,0.2422332763671875,0.3117711544036865,0.9135115146636964,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?,1
12,1930s (no specific year mentioned),1990,0.3768062591552734,0.5400655269622803,0.4662977457046509,0.0,0.0,"Robbie Rist starred in the film ""Teenage Mutant Ninja Turtles"" in what year?",0
13,Tansy.,Tansy,0.3270859718322754,0.3854959011077881,0.9731627702713012,1.0,1.0,"Which flower is the most invasive and found in more countries than the other, Rhodanthe or Tansy?",1
14,"Tom Nijssen was born on 1 October 1964, Mark Knowles was born on 4 September 1971.",Tom Nijssen,0.2934579849243164,1.185244083404541,0.5778993368148804,0.2222222222222222,0.2222222222222222,"Who was born first, Tom Nijssen or Mark Knowles?",1
15,University of Waterloo offers the broader programs involving applicable work experiences through its cooperative education (co-op) programs.,University of Waterloo,0.9792320728302002,1.0169639587402344,0.5900802612304688,0.2857142857142857,0.2857142857142857,Which of the Florida Institute of Technology and University of Waterloo has the larger main campus?,0
