idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Swiss Army,Victorinox AG,0.0528023242950439,8.384081602096558,0.2072331309318542,0.0,0.0,BusyBox software has been compared to a mutli-tool pocket knife manufactured by what company?,1
1, My Generation (2000),Pumping Iron,0.0504307746887207,8.914673089981079,0.1238764077425003,0.0,0.0,"Which documentary is the oldest, Buy Bye Beauty or Pumping Iron?",0
2," Rojotua, Loxatus, and C. Max",Frank Cottrell Boyce,0.0481843948364257,9.774330854415894,0.1596337258815765,0.0,0.0,"Who wrote the movie in which the song ""Nirvana"" was used?",0
3, 2000,2000,0.048694372177124,8.49635624885559,1.0,1.0,1.0,"Stags' Leap Winery in California, was purchased by Australian beer group with interests in brewing and soft drinks in what year?",1
4, The Office.,The Office,0.2100424766540527,8.512627840042114,0.9726589322090148,1.0,1.0,"Knucklehead is a film starring an actress born June 29, 1967 known for her role on NBC's show called what?",1
5, Garry Schyman,Jeremy Soule and James Hannigan,0.0549883842468261,8.722817182540894,0.5027203559875488,0.0,0.0,"Who wrote the music for the video games, which are based on the movies which Alexandre Desplat wrote the musical scores for?",0
6, Lorraine Hansberry,Rita Clay Estrada,0.0484950542449951,8.632631301879883,0.2829387187957763,0.0,0.0,Lorraine Heath is an author who received an award named for who?,0
7, Z GT two-seat coupes.,Nissan Z-car,0.06058931350708,9.03710651397705,0.71917724609375,0.25,0.25,The Nissan S30 was the first generation of this sports car manufactured since 1969?,0
8, Academy Award nomination for Best Adapted Screenplay.,Best Adapted Screenplay,0.0556445121765136,9.400332927703856,0.8339592218399048,0.6,0.6,"Phyllis Nagy received what Award Nomination for her screenplay based on the 1952 romance novel ""The Price of Salt""?",1
9, Madrid Motor Show.,the Madrid Motor Show,0.0483245849609375,8.640231609344482,0.9846688508987428,0.8571428571428571,0.8571428571428571,Where was the  Citroën vehicle designed with influences from what is called a beach buggy in the United Kingdom presented?,1
10, The Iron Giant.,The Iron Giant,0.0524117946624755,8.606681108474731,0.9808055758476256,1.0,1.0,Which 1999 American sci-fi comedy-drama was produced and directed by Brad Bird and edited by Darren T. Holmes?,1
11, Walt Disney,Walt Disney,0.0678749084472656,8.37372899055481,1.0000001192092896,1.0,1.0,Who produced The Shaggy D.A. and Tarzan?,1
12," Orlando, Florida.","Orlando, Florida",0.0512104034423828,8.640955686569214,0.9722781181335448,1.0,1.0,Welcome Home was written by a former member of a boy band - where was that band formed?,1
13," May 14, 1962",1 May 1954,0.0524702072143554,9.001049518585205,0.680487334728241,0.3333333333333333,0.3333333333333333,Tetsu was conceived by a chef born on which day ?,0
14, Edie Adams,Edie Adams,0.0542562007904052,8.522218227386475,1.0,1.0,1.0,"Under the Yum Yum Tree starred this actress who was born in April, 1927?",1
15, Ron Underwood,Ron Underwood,0.0469791889190673,8.519629001617432,0.9999999403953552,1.0,1.0,Who directed the film in which Ariana Richards played the character Mindy Sterngood?,1
