idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Yes.,no,0.0005152225494384,0.7732334136962891,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?,0
1, Pegnitz,Pegnitz,0.0005252361297607,0.9288887977600098,1.0,1.0,1.0,Which river was close to the city in which Johann Paul Auer born?,1
2, Riot Act,Riot Act,0.0005173683166503,0.7528510093688965,1.0,1.0,1.0,"Pearl Jam, is the eighth studio album by American alternative rock band Pearl Jam, released on May 2, 2006 on J Records, it was the band's first full-length studio release in almost four years, since which seventh studio album by American rock band Pearl Jam, released on November 12, 2002 through Epic Records? ",1
3, La Comédie Humaine,"""La Comédie Humaine""",0.0005216598510742,1.6027717590332031,0.958573281764984,1.0,1.0,"What novel sequence by the husband of Eveline Hańska is generally viewed as his ""magnum opus""?",1
4, Deep-dish pizza.,pizza,0.0004932880401611,1.375044584274292,0.7321621775627136,0.5,0.5,What kind of food does Gino's East and Bearno's specialize in?,1
5," approximately 4,200.","4,200",0.0004963874816894,1.599634885787964,0.664790153503418,0.8,0.8,The University System of New Hampshire oversees a coeducational university in Plymouth that has how many undergrad students?,1
6, Ptarmigan and Tom Mine,Ptarmigan and Tom Mine,0.0004975795745849,1.6015739440917969,1.0000001192092896,1.0,1.0,"Which mine was in production longer, Beaulieu Mine or Ptarmigan and Tom Mine? ",1
7, Celtic music,Celtic music,0.0005056858062744,0.7055554389953613,1.0000001192092896,1.0,1.0,"I See You was written by an American composer, conductor and orchestrator of film scores who was known for the integration of choral and electronic elements, and for his frequent use of motifs associated with what?",1
8, Castle Hill convict rebellion,Castle Hill convict rebellion,0.0004973411560058,1.1590197086334229,1.0000001192092896,1.0,1.0,"What rebellion, which culminated with the Second Battle of Vinegar Hill, was the largest convict uprising until the 1830 Bathurst rebellion?",1
9, Mary Ingalls,Mary Ingalls,0.0004975795745849,0.9312162399291992,1.0,1.0,1.0,"Which character, an elder sister, was played by Melissa Sue Anderson in the NBC series ""Little House on the Prairie""?",1
10, Yakshini,Jain Dharma,0.000497817993164,0.9311802387237548,0.220244824886322,0.0,0.0,"Yakshini are mythical beings of Hindu, Buddhist, and Jainism, which is traditionally known as what?",0
11, Sibley Memorial Hospital being a part of Johns Hopkins Medicine occurred first.,St. Elizabeths Hospital,0.0005221366882324,3.6179678440094,0.4381722509860992,0.1333333333333333,0.1333333333333333,"Which occurred first, St. Elizabeths Hospital being designated a National Historic Landmark or Sibley Memorial Hospital being a part of Johns Hopkins Medicine?",0
12, China,People's Republic of China,0.0005028247833251,0.479593276977539,0.5955054759979248,0.3333333333333333,0.3333333333333333,"Yanzhou District and Yizheng, are in which country?",1
13, Lutheran,Lutheranism,0.0005092620849609,0.5261638164520264,0.8804177045822144,1.0,1.0,"St. Gertrude New Church, is a church in Riga, the capital of Latvia, which type of church, which is a major branch of Protestant Christianity which identifies with the theology of Martin Luther (1483–1546), a German friar, ecclesiastical reformer and theologian?",1
14, Glen Cove,Glen Cove,0.0004923343658447,0.7218763828277588,1.0,1.0,1.0,"The 17.07 mi state highway New York State Route 107 connects which city in New York with a population of about 27,000 as of 2010?",1
15," November 16, 2011","November 16, 2011",0.0004925727844238,1.8217737674713133,1.0,1.0,1.0,The fifteenth season of South Park included the finale episode that first aired on what date?,1
16," The subsidiaries of the National Dairy Development Board in India sell various frozen food products, including ice cream, paneer, and ghee, under the Mother Dairy brand.",frozen vegetables,0.0004973411560058,7.633147954940796,0.4414213895797729,0.0714285714285714,0.0714285714285714,What frozen food products are sold by the subsidiaries of the National Dairy Development Board in India?,0
17, Mexico–United States border,The Mexico–United States border,0.0005035400390625,1.3738510608673096,0.9837790727615356,0.888888888888889,0.888888888888889,Which  international border is San Ysidro Port of Entry at  ,1
18, 1964,1964,0.0004911422729492,0.9318971633911132,1.0000001192092896,1.0,1.0,"What year  was this wrestler who was the challenger to the Undertaker  WWF World Heavyweight Championship on May 11, 1997, was born?",1
19, 22 July 1984,22 July 1984,0.0005264282226562,1.6446928977966309,0.9999999403953552,1.0,1.0,"Callum Smith, is a British professional boxer, who competes in the super-middleweight division, and held the European, the British, and the WBC Silver titles between 2015 and 2017, he's the youngest of the Smith brothers, Stephen Francis Smith, is a British professional boxer, born on which date?",1
