idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0," The rooms in the Belgian Suite are linked by narrow corridors, one of which has saucer domes designed by Nash in the style of Soane, and another with Gothic influenced cross over vaulting.",by narrow corridors,0.0005021095275878,4.7969160079956055,0.3631373345851898,0.1666666666666666,0.1666666666666666,How are the rooms in the Belgian Suite connected?,1
1," Buckingham Palace is also an art gallery and houses the Royal Collection, which includes works by Rembrandt, van Dyck, Rubens, and Vermeer.",art gallery,0.000516653060913,3.642540454864502,0.4477446675300598,0.1666666666666666,0.1666666666666666,"Aside from being the home of the monarchy and a tourist attraction, what else is Buckingham Palace known for?",1
2, The work of Pablo Picasso and Georges Braque.,Braque and Picasso,0.0004899501800537,1.223419427871704,0.8291370272636414,0.5454545454545454,0.1818181818181818,Understanding who's work was the tradition meaning of Cubism formed on?,1
3, Juan Gris,Juan Gris,0.0005106925964355,0.4552826881408691,0.9999999403953552,1.0,1.0,Who coined the phrase Analytic Cubsim? ,1
4, The Crown Estate owns Buckingham Palace and Windsor Castle.,Crown Estate,0.0005042552947998,1.2236201763153076,0.7044792175292969,0.3636363636363636,0.3636363636363636,Who owns Buckingham Palace and Windsor Castle?,1
5, Goring Great Garden,Goring Great Garden,0.0005123615264892,0.5652389526367188,1.0,1.0,1.0,What was the name of Lord Goring Garden?,1
6," The purpose of minority leader writings is to develop and promote the party's agenda, outline ways to neutralize the opposition's arguments and proposals, and provide campaign assistance to party candidates.",write books or articles that highlight minority party goals and achievements,0.0005023479461669,4.077080726623535,0.6896836757659912,0.1860465116279069,0.1395348837209302,What are the purpose of minority leader writings?,0
7, The Speaker of the House is the leader of the majority party in the House.,Speaker,0.0005042552947998,1.8816535472869875,0.4600050449371338,0.125,0.125,Who is the leader of the majority leader in House?,0
8, Buckingham House.,Buckingham House,0.0004997253417968,0.4548683166503906,0.9801653623580932,1.0,1.0,What was King George II's royal residence beginning in 1762?,1
9, Sir James Pennethorne,Sir James Pennethorne.,0.0005106925964355,0.6755809783935547,0.9827332496643066,1.0,1.0,Who was the student of Nash that designed the ballroom wing?,1
10, Dornier Do 17,Dornier Do 17 bomber,0.0005099773406982,0.7838375568389893,0.840463399887085,0.8571428571428571,0.8571428571428571,What type of aircraft was the German Plane?,1
11, Woman Walking,Woman Walking,0.0004923343658447,0.3479487895965576,1.0000001192092896,1.0,1.0,Which  Alexander Archipenko piece was similar to other Cubist scupltures of that time?,1
12, 1762,1762,0.0005130767822265,0.4550607204437256,1.0000001192092896,1.0,1.0,In what year was the Gold State Coach first used?,1
13, The Duke of Buckingham.,Duke of Buckingham and Normanby,0.0005075931549072,0.675365686416626,0.8551111817359924,0.6666666666666665,0.6666666666666665,The house which is the core of Buckingham was first built for who?,1
14, James Blaine,James Blaine,0.0005011558532714,0.4578337669372558,0.9999999403953552,1.0,1.0,What prominent ex-speaker was nominated for minority role in 1875?,1
15, King George V.,George V,0.0005133152008056,0.5665252208709717,0.8678106069564819,0.8,0.8,Which king placed more emphasis on official entertaining and royal duties instead of lavish parties?,1
16, A King's Messenger.,King's Messenger,0.000511884689331,0.6739301681518555,0.8973678350448608,0.8571428571428571,0.8571428571428571,After the war what did Holmes become?,1
17," £21,000","£21,000",0.0014801025390625,0.5652117729187012,1.0,1.0,1.0,How much did George III pay for Buckingham House? ,1
