idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Meet the Robinsons,Peter Pan,0.0005528926849365,2.221586227416992,0.1645377874374389,0.0,0.0,George Llewelyn Davies was the inspiration for which character created by JM Barrie?,0
1, Doris Day,Jodie Prenger,0.0005764961242675,1.722883701324463,0.3858170509338379,0.0,0.0,Which English actress and singer was in Calamity Jane?,0
2, The Adventures of Huck Finn,Herbie Rides Again,0.0005214214324951,2.5638699531555176,0.1086529344320297,0.0,0.0,"Which Walt Disney film was released first, The Adventures of Huck Finn or Herbie Rides Again?",0
3, R2B: Return to Base,R2B: Return to Base,0.0005168914794921,3.401366710662842,1.0,1.0,1.0,"Jung Ji-hoon, better known as Rain, starred in which movie directed by Kim Dong-won?",1
4, Laura Bailey,Laura Bailey,0.0005385875701904,1.3192427158355713,1.0,1.0,1.0,What voice actress has voiced the role of the leader of the Kirin Tor and Tohru Honda?,1
5, Elson Moyo was a deputy commander of the Air Force of Zimbabwe and one of the main figures in the 2007 Zimbabwean coup d'état attempt.,deputy commander of the Air Force,0.000516653060913,14.222832679748535,0.4548556804656982,0.375,0.375,How is Elson Moyo associated to the 2007 Zimbabwean coup d'état attempt?,1
6, Europe,Europe,0.0005273818969726,0.8930099010467529,1.0,1.0,1.0,"Hello Goodbye is an indie-rock band, and is from Scandinavia, a historical and cultural region in which Northern continent, characterized by a common ethnocultural North Germanic heritage and mutually intelligible North Germanic languages?",1
7," ""Wiseguy""",Wiseguy,0.0005140304565429,2.5669713020324707,0.8721039891242981,1.0,1.0,Producer Irwin Winkler received an Academy Award nomination for Best Picture for a film based on what book by Nicholas Pileggi?,1
8, Clyde Kennard,Air Force,0.0005202293395996,1.7323415279388428,0.1960133612155914,0.0,0.0,Which branch of the U.S. military maintains a highly classified remote detachment of a base in the state of Nevada?,0
9, Registan,Samarkand,0.000523567199707,1.3110880851745603,0.3981855809688568,0.0,0.0,"What city on the Silk Road means ""Sandy place"" in Persian?",0
10, Paul Williams,"Nicknamed ""The Punisher"", and standing at a height of 6 foot 1 inches, Williams was unusually tall for the three divisions in which he competed.",0.0005223751068115,1.3111300468444824,0.3410923779010772,0.074074074074074,0.074074074074074,What is the nickname of the boxer who was offered to fight against Sergio Martinez in Atlantic City 2011?,1
11, Little Richard,Little Richard,0.0005230903625488,1.3101449012756348,1.0,1.0,1.0,"Who was born on December 5, 1932 and had song written for him by John Marascalco?",1
12, Fabio Fognini,Simone Bolelli,0.0005350112915039,2.585031270980835,0.3655890226364136,0.0,0.0,"What tennis player, Simone Bolelli or  Andrés Gimeno Tolaguera, is a Grand Slam champion since he won the 2015 Australian Open doubles event with Fabio Fognini?",0
13, Yes,yes,0.0005381107330322,0.8949456214904785,1.0000001192092896,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
14, The Smiths,Morrissey,0.0005114078521728,1.7395837306976318,0.5524157881736755,0.0,0.0,What Smiths band member has been cited as an influence on artist Lil Tuffy?,0
15, Vickers,Vickers Defence Systems,0.0005292892456054,1.3216831684112549,0.7221714854240417,0.5,0.5,Challenger 1 was superseded by a battle tank designed and built by which company ?,1
