idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,"""Carol""","""The Price of Salt""",0.6044089794158936,3.3399486541748047,0.1836479306221008,0.0,0.0,Phyllis Nagy received a 2016 Academy Award nomination for a film based on what 1952 novel?,0
1,2006 and 2010.,2006 and 2010,0.5902807712554932,2.520860433578491,0.9766725897789,1.0,1.0, What years did the team that inspired the film Cool Runnings fail to qualify for the Winter Olympics?,1
2,Scotland's Wars of Independence.,Scotland's Wars of Independence,0.7858121395111084,2.511329174041748,0.9681902527809144,1.0,1.0,"What historical event has Bothwell Castle, the location of the Uddingston RFC, had a key role in?",1
3,Bowling for Columbine.,Michael Moore Hates America,0.3570981025695801,2.3140289783477783,0.2407251596450805,0.0,0.0,"Which documentary film has a director with a longer last name, Bowling for Columbine or Michael Moore Hates America?",0
4,Quentin Tarantino.,Quentin Jerome Tarantino,0.3769400119781494,2.0719923973083496,0.8714307546615601,0.8,0.8,In between Trey Parker and Quentin Tarantino who's films were characterized by nonlinear storylines?,1
5,Hanover College.,Hanover College,0.8686444759368896,2.257708787918091,0.9807752966880798,1.0,1.0,In which college Stephen Earl attended which was affiliated with the Presbyterian Church?,1
6,Snowpiercer.,Snowpiercer,0.4503765106201172,2.3172569274902344,0.9818547368049622,1.0,1.0,Ed Harris starred in what 2013 film written by Bong Joon-ho and and Kelly Masterson?,1
7,Sandra Oh.,Sandra Miju Oh,0.9749610424041748,2.2105133533477783,0.7696419954299927,0.8,0.8,"Barrier Device starred which Canadian actress, known for a role on ""Grey's Anatomy"", as a sex researcher?",1
8,The Conservative Party.,Conservative Party,5.152582406997681,1.9687020778656008,0.9196946620941162,0.8,0.8,Ann Winterton and her husband Sir Nicholas Winterton were both MPs for which British party?,1
9,"Gelsenkirchen, North Rhine-Westphalia.","Gelsenkirchen, North Rhine-Westphalia",0.2980072498321533,2.881314992904663,0.9907727241516112,1.0,1.0,Where is the football club that Michael Langer plays for originally from?,1
10,AVN Adult Entertainment Expo (AEE),AVN Adult Entertainment Expo,0.2305195331573486,1.906369686126709,0.9233015775680542,0.888888888888889,0.888888888888889,"Which of the publication of AVN Media Network is an adult entertainment convention and trade show held each January in Las Vegas, Nevada and is sponsored by ""AVN"" magazine?",1
11,"Fairfield, CT.","Mumbai, India",0.3488612174987793,2.3676319122314453,0.3701501488685608,0.0,0.0,"Where is the composer and writer of the tracks for the album ""TV Dinners"" living? ",0
12,Succulent plants.,plants,0.2893393039703369,2.122422218322754,0.7064943313598633,0.6666666666666666,0.6666666666666666,What type of vegetation does Ceratostigma and Crocosmia have in common?,0
13,Parks and Recreation.,Parks and Recreation,0.2801623344421386,2.1445658206939697,0.9860557913780212,1.0,1.0,Jurassic World starred the American actor who was on which NBC sitcom?,1
14,Robert Altman.,Robert Altman,0.5317516326904297,2.086533069610596,0.981324315071106,1.0,1.0,"Who was the director of the 1999 criminal comedy that the winner of the Academy Award for Best Actress for the movie ""Hud"" starred in? ",1
15,Tim Kurkjian,Aaron Boone,0.4713139533996582,2.147538900375366,0.3236050009727478,0.0,0.0,Which former player from Eldredge park is now a contributor to Baseball tonight?,0
16,2010,2010,0.3366069793701172,2.282788753509521,1.0,1.0,1.0,The album Different Strokes was produced by an American rhythm-and-blues singer who died in which year?,1
17,Origin Energy.,Origin Energy.,0.5912761688232422,2.215268135070801,1.0,1.0,1.0,Who owns the power station for which the Myuna Colliery was developed to provide coal  ?,1
18,"Volcano Suns was formed in 1984, while Beware of Darkness was formed later.",Volcano Suns,0.3744354248046875,3.0669946670532227,0.6550800204277039,0.2666666666666667,0.2666666666666667,"Which band was formed first, Against Me! or Volcano Suns?",0
19,The South Eastern Freeway is 76 kilometers long.,76,0.4940402507781982,2.794844388961792,0.2433299124240875,0.2222222222222222,0.2222222222222222,Veer Towers are located within an urban complex that occupies how many acres?,0
20,Yes.,yes,0.378580093383789,2.1925320625305176,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
21,"WDCD-FM is also known as ""New Light 96.7"".",New Light 96.7,0.3856148719787597,3.1016361713409424,0.6081239581108093,0.5714285714285715,0.5714285714285715,"What other name for a Christian Talk radio station licensed to Clifton Park, New York and serving New York's Capital District is shared with Kiss 102.3?",1
22,3 million.,three million,0.4311156272888183,2.0908350944519043,0.9543383717536926,0.5,0.5,Death of a Dynasty is a comedy film reaturing a cameo appearance by an American singer whose debut album sold how many copies in the United States?,1
23,"Brook Lee, born in Pearl City, Hawaii.",Pearl City,0.3657252788543701,2.5769236087799072,0.4265826642513275,0.4444444444444445,0.4444444444444445,"The 46th Miss Universe pageant was won by this American actress, TV Host, model and beauty queen who was born in which city?",1
24,1995,1977,0.2938981056213379,2.3100006580352783,0.6667356491088867,0.0,0.0,"American Eagle Outfitters, Inc. is an American clothing and accessories retailer, headquartered in the Southside Works Neighborhood of Pittsburgh, Pennsylvania, it was founded in which year, by brothers Jerry and Mark Silverman as a subsidiary of Retail Ventures, Inc.?",0
25,Red Roof Inn.,Red Roof Inn,0.5003280639648438,2.5677976608276367,0.9798703789711,1.0,1.0,What economy hotel chain did James Truman start that has dark red shingles? ,1
26,"Rich Christiano was born in October, and Michel Boisrond was born in October as well.",October,0.2540524005889892,3.792781352996826,0.4654808640480041,0.125,0.125,What month were Laura Stoica and Julian Cope born?,0
27,No.,no,0.3578789234161377,2.1392576694488525,0.8128341436386108,1.0,1.0,Are Chris Marker and Yvonne Rainer American?,1
28,Cher.,Cher,0.3376381397247314,1.791095495223999,0.9683185815811156,1.0,1.0,"Who, referred to as the Goddess of Pop, Produced the debut album from former S Club 7 lead singer Jo O'Meara?",1
29,Board games.,board game,0.466273546218872,2.4307963848114014,0.8520805835723877,1.0,1.0,Monopoly Junior and Tâb are both what?,1
30,Get Cape. Wear Cape. Fly.,Get Cape. Wear Cape. Fly.,0.3188588619232178,2.357683181762696,1.000000238418579,1.0,1.0,Which of the following had an original stage name of Slam Dunkworth: Dave King or Get Cape. Wear Cape. Fly.?,1
