idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,"""The Ballad of Jed Clampett""",The Ballad of Jed Clampett,0.4435176849365234,3.0364320278167725,0.9810752868652344,1.0,1.0,"Jerry Scoggins sang what that was written and composed by Paul Henning, and sung by Jerry Scoggins, who was accompanied by bluegrass musicians Lester Flatt and Earl Scruggs?",1
1,Geronimo Pratt.,Geronimo Pratt,0.2488048076629638,1.2888588905334473,0.9871575832366944,1.0,1.0,"The Brink's robbery of 1981 was an armed robbery and three related murders committed on October 20, 1981, which were carried out by six Black Liberation Army members, including Mutulu Shakur, he was a close friend of who?",1
2,Partners,Aladdin's Dragons,0.3286399841308594,1.0121798515319824,0.1761865019798278,0.0,0.0,"Which board game was introduced first, Aladdin's Dragons or CirKis?",0
3,Billy Corgan.,Billy Corgan,0.2836458683013916,1.2144348621368408,0.985373318195343,1.0,1.0,Which producer of Zeitgeist was also the lead singer?,1
4,George Martin.,George Martin,0.2826898097991943,0.9771933555603028,0.976954221725464,1.0,1.0,"What English composer/musician, known as the ""Fifth Beatle,"" produced two records by British vocal group, The Master Singers?  ",1
5,MTM Enterprises.,Warner Bros.,0.2298591136932373,1.2043616771697998,0.1795112788677215,0.0,0.0,"What company release the album the contained ""Final Masquerade""?",0
6,American.,American,0.2622225284576416,1.221264123916626,0.9135115146636964,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?,1
7,Aerolíneas Argentinas.,1949,0.2667989730834961,1.2948040962219238,0.1528749167919159,0.0,0.0,Which year was the author of Lord of Scoundrels born? ,0
8,"December 16, 1964.","December 16, 1964",0.3535027503967285,1.587053298950195,0.9859087467193604,1.0,1.0,When was the composer of the song Myths and Hymns born?,1
9,"Martina Navratilova was born on October 18, 1956, and Kevin Curren was born on March 2, 1958, so Martina Navratilova was born first.",Martina Navratilova,0.244415283203125,3.104042291641236,0.6605849266052246,0.16,0.16,"Who is a considered a better tennis player, Martina Navratilova or Jack Sock?",0
10,America.,British,0.3302898406982422,0.9914999008178712,0.532699704170227,0.0,0.0,Of which nationality is the co-designer of the Sea Truck?,0
11,1992.,1992,0.270979642868042,1.3691556453704834,0.9641321897506714,1.0,1.0,The most recent person to win the Crystal Palace F.C. Player of the Year for the second time is a footballer who was born in what year?,1
12,15 seasons.,16 seasons,0.3925764560699463,1.1386051177978516,0.8789052963256836,0.5,0.5,How many seasons did a retired NBA player who was traded for Shaquille O'Neal play?,0
13,Both are documentary films.,documentary film,0.268726110458374,1.3024556636810305,0.7110162973403931,0.6666666666666666,0.6666666666666666,"Call + Response and Transparent, are what type and genre of media?",1
14,"Joan Didion is an American author, and Aleister Crowley was an English occultist.","Aleister Crowley ( ; born Edward Alexander Crowley; 12 October 1875 – 1 December 1947) was an English occultist, ceremonial magician, poet, painter, novelist, and mountaineer.",0.4172968864440918,1.6273653507232666,0.7247075438499451,0.3888888888888889,0.3333333333333333,Who were Joan Didion and Aleister Crowley?,0
15,CuriosityStream.,CuriosityStream,0.4187030792236328,1.136451005935669,0.9622707962989808,1.0,1.0,"The first Canadian space walker hosts the show ""Miniverse"" which airs on what on demand service?",1
16,There is no title in the Peerage of Great Britain that was created in 1965. The title of Earl Spencer was created in 1765.,31 October 1783,0.3079919815063476,2.752328634262085,0.2831734120845794,0.0,0.0,When did the first titleholder of the title in the Peerage of Great Britain that was created in 1965 die?,0
17,"September 13, 1996.","1971September 13, 1996",0.2660529613494873,1.3984787464141846,0.6245321035385132,0.6666666666666666,0.6666666666666666,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur, he has produced albums for and overseen the careers of many rappers, including Tupac Amaru Shakur, also known by his stage name 2Pac, was an American rapper and actor, died on which date?",1
18,Home Alone.,Home Alone,0.3451106548309326,1.080503225326538,0.9572392106056212,1.0,1.0,Casseurs Flowters is a duo whose name came from which 1990 Christmas comedy film?,1
