idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0," The relational model improved over time with the development of SQL, which provided a standardized query language, and the introduction of object-oriented programming, which allowed for more complex data relationships and improved data management.",without constant rewriting of links and pointers,0.0519413948059082,5.735013484954834,0.0738735347986221,0.0952380952380952,0.0952380952380952,How was the relational model able to improve over time?,0
1, 1840s,1840s,0.1059372425079345,3.235578775405884,1.0000001192092896,1.0,1.0,What decade does the sulfite process date to?,1
2, The database's conceptual and external architectural levels.,database related application,0.0458354949951171,3.591088056564331,0.5931810140609741,0.1818181818181818,0.1818181818181818,"In order to merge, what must the database maintain?",0
3, Allophonic and phonemic.,allophonic or phonemic,0.0474286079406738,3.5336782932281494,0.9574704170227052,0.6666666666666666,0.6666666666666666,What two forms can aspiration be in?,1
4, Less than 6% moisture content.,6,0.0472700595855712,3.5262513160705566,0.112253189086914,0.3333333333333333,0.3333333333333333,"Starting in the center of Kathmandu, how many kilometers must one travel to reach Tribhuvan International Airport?",0
5, CODASYL,Database Task Group,0.1152417659759521,3.1593799591064453,0.077790729701519,0.0,0.0,What group discovered COBOL?,0
6, Degrees of aspiration.,degrees of aspiration,0.0451271533966064,3.2454400062561035,0.9481090307235718,1.0,1.0,There are no IPA symbols for what?,1
7, Stops are distinguished by voicing and aspiration.,voicing,0.0559639930725097,3.57674527168274,0.5070854425430298,0.25,0.25,How are stops distinguished?,1
8, QUEL,QUEL,0.0965473651885986,3.099064350128174,1.0,1.0,1.0,What computer language was used in INGRES to access data?,1
9, A special kind of felt.,felt,0.0977594852447509,3.386983156204224,0.7356632947921753,0.3333333333333333,0.3333333333333333,"Besides a blotter sheet, what can be used to collect water?",1
10, Acid-free.,acid-free,0.0832040309906005,3.1884164810180664,0.9661557078361512,1.0,1.0,What level of acid is usually found in the paper used by book publishers?,1
11, Object-relational impedance mismatch.,object-relational impedance mismatch,0.0615561008453369,3.3682432174682617,0.9925756454467772,1.0,1.0,What term is used for the difficulty in database table and programmed object translation?,1
12," dBASE was unique because it did the ""dirty work"" of data manipulation, allowing users to focus on their tasks rather than managing files and space allocation.",data manipulation is done by dBASE,0.0505337715148925,5.18718409538269,0.6420238614082336,0.1875,0.125,Why was dBASE unique?,1
13, Edgar F. Codd,Codd,0.0523815155029296,3.315147876739502,0.6127148866653442,0.5,0.5,Who used tuple calculus to show the functionality of databases?,1
14, A special kind of felt.,felt,0.1557486057281494,3.383235454559326,0.7356632947921753,0.3333333333333333,0.3333333333333333,"Besides a blotter sheet, what can be used to collect water?",1
15, Laidlines.,Laidlines,0.0752484798431396,3.2417314052581787,0.9563372135162354,1.0,1.0,"Which is lines are commonly higher in density, laidlines or chainlines?",1
16, word-finally.,consonant clusters,0.0482113361358642,3.2260894775390625,0.200016975402832,0.0,0.0,What other type of endings do Catalan words have?,0
