idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Steel and concrete.,brick,0.1334166526794433,22.3891544342041,0.483687162399292,0.0,0.0,What building material were tomb chambers constructed with?,0
1, Morphine injection.,morphine,0.1479313373565673,22.32125568389893,0.8729566931724548,0.6666666666666666,0.6666666666666666,Which type of injection has caused patients to report they have pain but aren't bothered by it?,1
2," June 21, 1940.",21 June,0.1385893821716308,23.207149744033813,0.5466349720954895,0.8,0.4,When did the Estonian Independent Signal Battalion face off against the Soviets?,1
3, The Soviet Union.,Soviet Union,0.1315844058990478,22.164863109588623,0.9204875230789183,0.8,0.8,What nation was considered the leader in the nuclear arms race?,1
4," Social, economic, and cultural conditions.","social, economic and cultural",0.1493020057678222,23.21040940284729,0.8241304159164429,0.888888888888889,0.888888888888889,"According to the Declaration of Delhi, what type of conditions are needed for human dignity?",1
5, Addiction.,potentially addicting drugs,0.1412434577941894,21.84603190422058,0.7049434185028076,0.5,0.5,What do many people fear pain treatment will lead to?,1
6," South Korea, Singapore, Japan, Taiwan, and Hong Kong are the Asian countries that are robustly committed to a law-bound state.","South Korea, Singapore, Japan, Taiwan and Hong Kong",0.1445553302764892,27.361641883850098,0.7509430050849915,0.5517241379310345,0.5517241379310345,Which Asian countries strictly follow laws?,1
7, A Maavanem is the county governor in Estonia.,county governor,0.1283559799194336,23.82440400123596,0.4086467623710632,0.4,0.4,A Maavanem holds what position in Estonia?,1
8, The Estonian SSR.,the Estonian SSR,0.1486656665802002,22.56088805198669,0.9876571297645568,1.0,1.0,What institution did Western countries refuse to recognize?,1
9, 1.562 billion kilowatt hours.,1.562 billion kilowatt hours,0.2910783290863037,23.73588252067566,0.9837513566017152,1.0,1.0,How much electricity is exported by Estonia annually?,1
