idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Whites and males.,whites and males,0.0005133152008056,0.516077995300293,0.9715855121612548,1.0,1.0,Studies showed that discrimination in both business sectors and education resulted in advantages for what group of people?,1
1, The academic computing department at the University of Kansas contributed to the development of the internet.,academic computing,0.0005323886871337,1.6907007694244385,0.5266355276107788,0.2222222222222222,0.2222222222222222,What division of the University of Kansas contributed to the development of the internet?,1
2, The Princeton Review.,Princeton Review,0.0005102157592773,0.4815163612365722,0.9508841037750244,0.8,0.8,Who considered the business school of the University of Kansas among the best Midwestern business institutions?,1
3, Anthocyanins in purple grape skin.,anthocyanins,0.0005149841308593,0.9454379081726074,0.711542546749115,0.3333333333333333,0.3333333333333333,What pigment is responsible for the color of leaves in fall?,1
4," ""Home on the Range""","""Kansas Song""",0.0005149841308593,0.6673464775085449,0.2463511526584625,0.0,0.0,What is the name of a song that references the state that KU serves?,0
5, Office for Civil Rights,Office for Civil Rights,0.0005068778991699,0.480372667312622,1.0,1.0,1.0,With which organization did Li file a civil rights complaint?,1
6," racial discrimination in basic freedoms, education, public facilities, personal safety, and employment opportunities.",the state of race relations,0.0005154609680175,1.7839763164520264,0.4085785746574402,0.0,0.0,What was the committee especially disturbed by as indicated in their report?,1
7, Lyndon B. Johnson,Harold L. Ickes,0.0005137920379638,0.5727386474609375,0.2184298634529113,0.0,0.0,Who was the true backer of the cause of affirmative action?,0
8, Lower-class European Americans.,lower-class European Americans,0.0005133152008056,0.574709415435791,0.9674360752105712,1.0,1.0,At who's expense other than Asian Americans are upper-class African Americans and Hispanic Americans supposedly benefiting?,1
9, Bill Self,Bill Self,0.0005156993865966,0.293769359588623,0.9999999403953552,1.0,1.0,Who is the head of men's basketball at KU?,1
10, The Education and Justice Departments.,Education and Justice Departments,0.0005125999450683,0.665611982345581,0.9707198143005372,0.888888888888889,0.888888888888889,Who did the organizations file the complaints with?,1
11, Vitis vinifera,Vitis vinifera,0.0005018711090087,0.5726120471954346,1.0000001192092896,1.0,1.0,What species of grape are grown by Black Monukka?,1
12, Wilt Chamberlain,Wilt Chamberlain,0.0005264282226562,0.4807906150817871,1.0,1.0,1.0,Who is considered the most famous basketball alumnus of KU?,1
13," Alan Mulally, former President and CEO of Ford Motor Company.",Alan Mulally,0.0005099773406982,1.317121982574463,0.7235170006752014,0.3333333333333333,0.3333333333333333,What former leader of a car manufacturing company attended KU?,1
14, Crimson and royal blue.,crimson and royal blue,0.000516653060913,0.5741245746612549,0.9826592803001404,1.0,1.0,What colors are worn by KU's athletic teams?,1
15, June 1963,June 1963,0.0005149841308593,0.4803419113159179,1.000000238418579,1.0,1.0,When did President Kennedy issue Executive Order 11114?,1
16," The report ""To Secure These Rights"" stated that when an individual enters the service of the country, they surrender some of their rights and privileges as an American citizen, but the government undertakes to protect their integrity as an individual.",surrenders some of the rights and privileges,0.0005061626434326,4.391794919967651,0.6440452933311462,0.2978723404255319,0.2553191489361702,What did the findings say occurred to an individual when he enters the armed services?,1
17, Ricci v. DeStefano (2009),Richmond v. J.A. Croson Co.,0.0005106925964355,1.2252397537231443,0.1408718973398208,0.2,0.2,What is an example case that can help display where upholding a racial classification is beneficial?,0
18," New Haven, Connecticut.","New Haven, Connecticut",0.0005109310150146,0.5731229782104492,0.9801520109176636,1.0,1.0,Where was the issue of White and Hispanic firefighters heard in the case based out of?,1
19, Red wine.,red wine,0.0005059242248535,0.3868978023529053,0.9667990803718568,1.0,1.0,What type of wine is fermented with grape skin?,1
20, 1993,1993,0.0005128383636474,0.3857965469360351,1.0000001192092896,1.0,1.0,When did Nadelmann write about global policing?,1
21," Overland Park, Kansas.",Overland Park,0.000514268875122,0.6653006076812744,0.8808357119560242,0.8,0.8,In what city is the Edwards Campus located?,1
22, Table grapes.,table grapes,0.0005161762237548,0.3867397308349609,0.9789943099021912,1.0,1.0,What are grapes that are eaten raw classified as?,1
23," Additional fees are charged at KU's specialized professional schools, such as the schools of architecture, music, arts, business, education, engineering, journalism, law, pharmacy, and social welfare.",additional fees,0.0005221366882324,3.737265110015869,0.5589090585708618,0.1379310344827586,0.1379310344827586,What is charged at KU's specialized professional schools?,1
24, Nike,Nike,0.0005097389221191,0.2019009590148925,1.0,1.0,1.0,What manufacturer became Arsenal's uniform provider in 1994?,1
25, Vitis vinifera,Vitis vinifera,0.0005152225494384,0.5720865726470947,1.0000001192092896,1.0,1.0,What species of grape are grown by Black Monukka?,1
26, Title VII of the Civil Rights Act aimed to end discrimination in all firms with 25 or more employees.,to end discrimination in all firms with 25 or more employees,0.0005083084106445,2.0622966289520264,0.6981199979782104,0.7333333333333334,0.7333333333333334,What was the purpose of Title VII of the Civil Rights Act?,1
27," Princeton Dean of Admissions Janet Rapelye stated that Li was not admitted because ""many others had far better qualifications.""",many others had far better qualifications,0.0005154609680175,2.344354152679444,0.4562026262283325,0.4799999999999999,0.4799999999999999,What did Princeton claim the real reasons for the rejection of Li's application was?,1
28, Shelby Steele believes that the true concept of affirmative action is enforcing equal opportunity.,enforcing equal opportunity,0.0005319118499755,1.503882884979248,0.4943450093269348,0.3529411764705882,0.3529411764705882,What does Shelby Steele believe that the true concept of affirmative action is?,1
29," The University of Kansas School of Engineering was ranked tied for 90th among national universities in the U.S. News & World Report's ""America’s Best Colleges"" 2016 issue, compared to other national universities.",national universities,0.0005190372467041,4.204939126968384,0.4956896603107452,0.1111111111111111,0.1111111111111111,Against what other kinds of institutions was KU's engineering school compared?,1
30, The KU Endowment seeks to partner with donors.,donors,0.0005176067352294,1.131838321685791,0.5065339803695679,0.2222222222222222,0.2222222222222222,To whom does the KU Endowment seek to connect with?,1
31, The University of Kansas athletic teams are called the Kansas Jayhawks.,Kansas Jayhawks,0.0005195140838623,1.316824197769165,0.798125684261322,0.3076923076923077,0.3076923076923077,What is the name of KU athletic teams?,1
32, 131,131,0.0005173683166503,0.2938973903656006,1.0000001192092896,1.0,1.0,How many institutions participated in the V-12 program?,1
33, John F. Kennedy,John F. Kennedy,0.000516653060913,0.4798247814178467,1.0000001192092896,1.0,1.0,Who was the Democratic candidate for president in 1960?,1
34, The Chinese Exclusion Act of 1882.,school segregation,0.0005147457122802,1.0372958183288574,0.2965604066848755,0.0,0.0,What law type did Asian immigrants struggle with?,0
35, The U.S. Equal Employment Opportunity Commission.,U.S. Equal Employment Opportunity Commission,0.0005276203155517,0.9757213592529296,0.9530961513519288,0.923076923076923,0.923076923076923,Which organization claims that private sector employers believe having a diverse workplace is beneficial?,1
36, create an environment in which there is a culture of respect for individual differences as well as the ability to draw in talent and ideas from all segments of the population.,draw in talent and ideas from all segments of the population,0.0005171298980712,3.087270498275757,0.6540108919143677,0.5238095238095238,0.5238095238095238,Having a diverse workplace allows for employers to do what?,1
37, Five times.,five,0.0005226135253906,0.3880667686462402,0.6817899346351624,0.6666666666666666,0.6666666666666666,How many sectors make up the Kathmandu metropolitan area?,0
38, Shiraz.,Shiraz,0.0005195140838623,0.3872022628784179,0.9782990217208862,1.0,1.0,What is the sixth most populous city of Iran?,1
