idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,South Australia.,south-east of Adelaide in South Australia.,0.299222469329834,3.7812905311584473,0.7768996953964233,0.4444444444444445,0.4444444444444445,"Electoral distric of Heysen includes the town of Bridgewater, which is located where?",0
1,Armchair General,Armchair General,0.3344032764434814,2.341696262359619,1.0,1.0,1.0,"Which magazine, Nintendo Power or Armchair General, was produced by Weider History Group?",1
2,The Fighting Prince of Donegal (1966) was produced earlier than The Moon-Spinners (1964).,The Moon-Spinners,0.2465763092041015,3.325564384460449,0.5326089859008789,0.3529411764705882,0.3529411764705882,Was The Moon-Spinners or Scandalous John released first?,0
3,"Brad Bird directed the 2015 film ""Tomorrowland"" in which Raffey Cassidy appeared.",Brad Bird.,13.449838876724243,3.150423765182495,0.4599599242210388,0.2857142857142857,0.2857142857142857,Who directed the 2015 film in which Raffey Cassidy appeared ?,1
4,Autopia.,Autopia,0.4289577007293701,2.259315252304077,0.9751440286636353,1.0,1.0,Which of Bob Gurr's designs do patrons steer specially designed cars through an enclosed track?,1
5,White blood cells.,White blood cells,3.4054999351501465,2.316967010498047,0.9305682182312012,1.0,1.0,"What are the cells of the immune system that are involved in protecting the body against both infectious disease and foreign invaders, where a disease of the eye in response to changes in the vitreous humor or more rarely, diabetes, that causes the cells response?",1
6,Mississippi's 2nd congressional district.,Mississippi's 2nd congressional district,0.551349401473999,2.858442068099976,0.9663487076759338,1.0,1.0,"Prior to serving as a member of the Provisional Congress of the Confederate States from Mississippi, William S. Barry served as a member of which majority-black district in the state, covering much of western Mississippi?",1
7,The Simpsons.,"""The Simpsons""",0.3934710025787353,2.2851901054382324,0.8882609605789185,1.0,1.0,Hank Azaria joined what cartoon as a voice actor 10 years before acting in Mystery Men?,1
8,"Yes, they were both writers from the United States and Scotland, respectively.",no,0.5579116344451904,2.755242824554444,0.1350713372230529,0.0,0.0,Are Chris Marker and Yvonne Rainer American?,0
9,Runcorn F.C. Halton.,Runcorn F.C. Halton,3.3889706134796143,2.692624568939209,0.9708806276321412,1.0,1.0,"What is the name of the English football club that had played in Runcorn, Widnes, and Prescot during its existence and who footballer Danny Byrne had previously played for?",1
10,Nye County,Nye County,0.4157247543334961,2.547252893447876,1.0000001192092896,1.0,1.0,In what county is the ghost town located where the 1925 movie Air Mail was filmed?,1
11,"""This Is Acting"".",This Is Acting,0.4282028675079345,2.188715696334839,0.7946462631225586,1.0,1.0,"Sia recorded a song ""the greatest"" that went in her seventh studio album called what?",1
12,Jon Foreman,Jon Foreman,0.378873348236084,2.1788902282714844,1.0,1.0,1.0,"What is the name of the lead vocalist of the band who  recorded the album ""Where the Light Shines Through""?",1
13,San Antonio Spurs.,San Antonio Spurs,0.2471215724945068,2.602560043334961,0.9740225672721864,1.0,1.0,Mfon Udoka is the sister of the player who is now an assistant coach for what team?,1
14,The Hume Highway.,Hume Highway,0.2971553802490234,2.474081039428711,0.9503756165504456,0.8,0.8,Which highway is 840 km in length where the town Wandong can be found?,1
15,Victor Ortiz.,Victor Ortiz,0.5280907154083252,2.117191791534424,0.9813694357872008,1.0,1.0,Who is the American professional boxer and film actor who held the WBC welterweight title in 2011 and was in the cast of The Expendables 3?,1
16,"The Aladdin Theatre for the Performing Arts in Las Vegas, Nevada.",the Aladdin Theatre,0.5520291328430176,2.9960427284240723,0.8682319521903992,0.4285714285714285,0.4285714285714285,"Lupita Jones was an actress, director, and beauty queen who competed in a competition in 1991 that was held in what theatre located in Las Vegas, Nevada?",1
17,Chris Gerolmo.,Gary Sinise,0.2598378658294678,2.3749442100524902,0.3633431494235992,0.0,0.0,"Who is the Emmy Award and Golden Globe Award winner who is in the movie ""Truman""?",0
18,Sedum and Coriaria extend into the Southern Hemisphere in Africa and South America.,South America,0.4010396003723144,3.2092113494873047,0.466982364654541,0.2666666666666667,0.2666666666666667,Camerón is a hamlet near the southern tip of what continent?,0
19,Yes.,no,0.3906145095825195,2.0005135536193848,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?,0
20,Family Circle and Avantages are magazines.,magazine,0.8002119064331055,2.534137487411499,0.6156132221221924,0.2857142857142857,0.2857142857142857,"Moves and Heavy Metal, are which type of publication?",0
21,Barry Fitzgerald.,Barry Fitzgerald,0.798447847366333,1.999106407165528,0.9789958000183104,1.0,1.0,"Broth of a Boy is a 1959 Irish comedy film directed by George Pollock and starring who, he was an Irish stage, film and television actor?",1
22,DeWitt Bodeen.,DeWitt Bodeen,0.2477073669433593,2.333725929260254,0.9876568913459778,1.0,1.0,Who wrote the film that a 1982 American erotic horror film directed by Paul Schrader was loosely based on and was  a 1942 horror film produced by Val Lewton?,1
23,1955,"January 21, 1955",0.3559162616729736,2.2486281394958496,0.8680315017700195,0.5,0.5,"The character and persona, Pandemonia, was brought to life as an inflatable created by an American artist known for working with popular culture subjects and his reproductions of banal objects, born when?",1
24,Rice.,It is made with up to 30% rice,0.3206443786621094,1.8962719440460205,0.6332215666770935,0.2222222222222222,0.2222222222222222,"As an American larger, was is the main adjunct used to produce Budweiser?",1
25,David Niven.,James David Graham Niven,0.4016566276550293,1.9933171272277832,0.7873964309692383,0.6666666666666666,0.6666666666666666,"Which English actor, memoirist and novelist starred in the 1959 film Ask Any Girl?",1
26,Islamophobia and white nationalism.,larger rise of Islamophobia,0.3328950405120849,2.409092426300049,0.709425687789917,0.25,0.25,What triggered both the 2016 Minneapolis shooting and the unlikely outcome of the 2016 US presidential election?,1
27,Kourtney Kardashian has appeared in more reality television shows.,Kourtney Mary Kardashian,0.3102638721466064,2.6191623210906982,0.646754264831543,0.3333333333333333,0.3333333333333333,"Who s an American television personality, socialite, businesswoman and model who's father gained national recognition as O. J. Simpson's friend and defense attorney during Simpson's 1995 murder trial?",0
28,Paul Allen.,Paul Allen,0.3125405311584472,2.379142999649048,0.9817759394645692,1.0,1.0,Who is the owner of the team that Bill Dugan played American football for in the National Football Conference (NFC) West division?,1
29,Art Briles.,Art Briles,0.3310902118682861,2.229454755783081,0.9877769351005554,1.0,1.0,Who coached the team from the Big 12 Conference that played the UCLA Bruins in the 2012 Holiday Bowl?,1
30,"The Desert Inn was a casino hotel on the Las Vegas Strip in Paradise, Nevada.",casino hotel,0.3078110218048095,2.825826644897461,0.6204696893692017,0.2352941176470588,0.2352941176470588,"What was The Desert Inn, which was run by Allard Roen as the managing director?",1
31,"Liwayway's sister publications are Bannawag, Bisaya Magasin, and Hiligaynon.","Bannawag, Bisaya Magasin, and Hiligaynon",0.3212947845458984,3.6202898025512695,0.74077308177948,0.6666666666666666,0.6666666666666666,"Tister first appeared as a serial on the pages of the oldest Tagalong magazine in the Philippines, what are the magazine's sister publications?",1
