idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, 1821,After the Mexican War of Independence from Spain,0.0004858970642089,0.6869039535522461,0.3484393358230591,0.0,0.0,When did other states become part of Mexico?,1
1," No, while Myanmar (formerly Burma) has made progress towards democracy, it is still a hybrid regime with a nominally civilian government but with the military holding significant power and influence.",Opinions differ whether the transition to liberal democracy is underway,0.0005185604095458,5.694783687591553,0.4050688743591308,0.15,0.1,Is Burma now a democratic nation?,1
2, 1613,"In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom",0.0005033016204833,0.6428101062774658,0.0956872850656509,0.0,0.0,In what year was one of the original Myanmar kingdoms restored?,0
3, The Eötvös Prize.,"Eötvös Prize, a national prize for mathematics",0.0004887580871582,1.2496895790100098,0.8249627351760864,0.5714285714285714,0.5714285714285714,What prize did Von Neuman win at the conclusion of his gymansium formal education?,1
4," No, the country still faces many challenges, including human rights abuses, ethnic tensions, and economic struggles.","Aung San Suu Kyi's party won a majority in both houses, ending military rule.",0.0004818439483642,3.3949315547943115,0.1240822225809097,0.0,0.0,Has the country been able to overcome the problems of government with the previous regime?,0
5," Yes, New Mexico's Spanish has retained many elements of 16th- and 17th-century Spanish and has developed its own vocabulary.",", New Mexico Spanish, and in particular the Spanish of northern New Mexico and Colorado has retained many elements of 16th- and 17th-century Spanish",0.0005619525909423,4.467603921890259,0.8191639184951782,0.6222222222222222,0.5777777777777778,Is New Mexico's language different than from other Spanish dialect ,1
6, The State of the Union Addresses and other presidential speeches are translated to Spanish.,The State of the Union Addresses and other presidential speeches are translated to Spanish,0.0004899501800537,2.473684787750244,0.9922918677330016,1.0,1.0,What political speaches are delivered in English and Spanish?,1
7," New York City, Orlando, Philadelphia, and Central Florida.","many Puerto Ricans have migrated to New York City, Orlando, Philadelphia, and other areas of the Eastern United States",0.0004875659942626,2.0136187076568604,0.491531103849411,0.4444444444444443,0.4444444444444443,Where are the biggest population of Puerto Ricans on the mainland?,1
8," No, in Myanmar (Burma), groups who represent workers are not allowed to express their opinions in protest freely, as the government has a history of suppressing dissent and restricting freedom of speech and assembly.",new labour laws that permit labour unions and strikes,0.0004773139953613,6.310631990432739,0.254804402589798,0.0465116279069767,0.0465116279069767,Are groups who represent workers allowed to express their opinions in protest in Burma?,0
9," Historical resentment and violence, such as the Japanese occupation of Burma in World War II, and the treatment of the Rohingya minority.",lingering resentment over the violence that occurred during the Japanese occupation,0.000481367111206,4.011009931564331,0.697517454624176,0.3636363636363636,0.303030303030303,What may have caused negative feeling to still linger among the different races of the Burmese people ?,1
10, The emergence of iron-working settlements in an area south of present-day Mandalay around 500 BC.,with the emergence of iron-working settlements in an area south of present-day Mandalay,0.0004832744598388,3.239208221435547,0.9340511560440063,0.8749999999999999,0.8749999999999999,What events punctuate the beginning of the Iron Age?,1
11," No, the pace of change for the Burmese people has been uneven and influenced by various factors, including colonialism, military rule, and economic development.",pace of reforms were uneven and ultimately proved insufficient,0.0004937648773193,5.181612253189087,0.5084384083747864,0.2424242424242424,0.2424242424242424,Did changes move along at a uniform pace for the Burmese people?,1
