idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,The Lost Princess of Oz.,the eleventh,0.349931001663208,1.731987237930298,0.2041637599468231,0.2857142857142857,0.2857142857142857,"What number is the series of ""Oz"" books does the City of Thi appear in?",1
1,Ontario Six Nations.,the Mohawk Valley,0.3939006328582763,0.3845829963684082,0.3418799340724945,0.0,0.0,Where was Janet Rogers' tribe historically based?,0
2,2013.,2013,0.4505157470703125,0.3867421150207519,0.9337419867515564,1.0,1.0,When were the band that released the song Charlemagne formed ?,1
3,"1,275-965.","1,275-965",0.4786627292633056,0.4973132610321045,0.9852176904678344,1.0,1.0,What is the lifetime professional coaching record of the Hall of Fame coach that coached Tad Boyle in 2015?,1
4,The Bingham Group.,Bingham Group,0.4194562435150146,0.2817733287811279,0.9564985036849976,0.8,0.8,What company did the executive who was onboard the September 11th flight to San Francisco work public relations for?,1
5,"Interbol is an international space project under the leadership of the Russian Space Agency and the Space Research Institute of the Russian Academy of Sciences, with the goal of studying the correlations between solar wind and plasma.",Russian Space Agency,0.3440845012664795,1.7024352550506592,0.3737615048885345,0.15,0.15,"Interbol, is an international space project under the leadership of which organization, and the Space Research Institute of the Russian Academy of Sciences, the goal of the project is to study the correlations between which item, can simply be considered as a gaseous mixture of negatively charged electrons and highly charged positive ions, however, true plasma production is from the distinct separation of these ions and electrons that produces an electric field, which in turn, produces electric currents and magnetic fields, in the tail of the magnetosphere and in the Van Allen radiation belt?",1
6,NBC,NBC,0.3226199150085449,0.2047634124755859,0.9999999403953552,1.0,1.0,"The actress that played Lila Crane in the 1960 film ""Psycho"" also stars with Barbara Eden in a 1971 made-for-tv film that premiered on what network?",1
7,"No, the Up Series is a documentary series, while Welcome to Nollywood is a documentary film.",yes,0.3395931720733642,0.9771971702575684,0.2279428541660308,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?,0
8,Edwina Currie.,Edwina Currie,3.739396572113037,0.4588754177093506,0.98549222946167,1.0,1.0,What former British politician played in Beyond a Joke?,1
9,They are both names of magazines.,magazine,1.1926743984222412,0.4950194358825683,0.6906758546829224,0.2857142857142857,0.2857142857142857,"Moves and Heavy Metal, are which type of publication?",1
10,2010.,2010,0.2524857521057129,0.3222684860229492,0.9565384387969972,1.0,1.0,The album Different Strokes was produced by an American rhythm-and-blues singer who died in which year?,1
11,Eugen Bleuler.,Eugen Bleuler,0.3725268840789795,0.4298744201660156,0.987130343914032,1.0,1.0,"The Roots of Coincidence is a 1972 book by Arthur Koestler, an introduction to theories of parapsychology, including extrasensory perception and psychokinesis, it is influenced by Carl Jung's concept of synchronicity, Jung, was a Swiss psychiatrist and psychoanalyst who founded analytical psychology, as a notable research scientist based at the famous Burghölzli hospital, under who?",1
12,New York.,New York,0.4338338375091553,0.3494019508361816,0.964856505393982,1.0,1.0,"101 Park Avenue and 55 Water Street, are located in which state?",1
13,"70 years, 126 days.","70 years, 126 days",0.335463285446167,0.535545825958252,0.9826571345329284,1.0,1.0,The king during  the 166th year of the Rattanakosin Kingdom of Thailand served for how many years and days?,1
14,Yes.,yes,0.3127219676971435,0.3109924793243408,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
15,Lake Tahoe.,Oregon Coast,0.3123507499694824,0.3522212505340576,0.4128318130970001,0.0,0.0,"What is 50 mi east of the University of California, Berkeley's current American football coach's home town? ",0
