idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, 1965,1965,0.0004804134368896,0.544809103012085,1.0000001192092896,1.0,1.0, Scott Hochberg represented District 132 which included a domed sports stadium offically opened in what year?,1
1," Jengish Chokusu is higher at 7439m, Haramosh Peak is 7409m.",Jengish Chokusu,0.0005087852478027,2.8981802463531494,0.568994402885437,0.3333333333333333,0.3333333333333333,Which his higher Haramosh Peak or Jengish Chokusu,1
2, Arizona Cardinals,Arizona Cardinals,0.0005066394805908,0.3792574405670166,1.0,1.0,1.0,Brandon Johnson was drafted by which professional American football franchise based in the Phoenix metropolitan area?,1
3, Charles Manson,Charles Manson,0.0005056858062744,0.3801510334014892,1.0,1.0,1.0,"Helter Skelter chronicled the case of the murderer who was part of whose ""family""?",1
4, 1958,1958,0.0005097389221191,0.5037832260131836,1.0000001192092896,1.0,1.0,People of the City is a novel by Cyprian Ekwensi that preempted the importance of a novel first published in what year?,1
5, Queen Elena of Italy.,Elena of Montenegro,0.0005030632019042,0.739778995513916,0.7717089056968689,0.5714285714285715,0.5714285714285715,"When Violet Wegner became HRH Princess Pierre of Montenegro, who was her sister-in-law?",1
6, The Brooklyn Theatre fire.,The Brooklyn Theatre Fire,0.0005037784576416,0.76963210105896,0.99214106798172,1.0,1.0,"Which catastrophic event in 1876, in Brooklyn, resulted in the death of 278 individuals and which destroyed the former Park Theatre, leased to Sarah Crocker Conway at that time but who continued in the lease on the new building in which her husband played leading parts?",1
7, 1938,1944,0.000502586364746,0.4997849464416504,0.6897959113121033,0.0,0.0,What year was the the U.S. Third Army undertaking the Lorraine Campaign during World War II while the U.S. Fifth Army was engaged in Operation Diadem?,0
8, Cyclamen,Cyclamen,0.00050950050354,0.3979308605194092,1.0000001192092896,1.0,1.0,"Which genus has more species, Cyclamen or Ostrowskia?",1
9, Melissa Sagemiller,Melissa Sagemiller,0.0005090236663818,0.6257331371307373,1.0,1.0,1.0,"Aviation Survival Technician is the challenging job is featured prominently in a film that stars  Kevin Costner, Ashton Kutcher and what actress?",1
10, World War II,World War II,0.0005073547363281,0.5173945426940918,1.0,1.0,1.0,"Battle of Tarawa and Operation Overlord, occurred during which event?",1
11, 10 miles,ten miles,0.0005044937133789,0.5075180530548096,0.9620436429977416,0.5,0.5,How many miles away is the Polipoli Spring State Recreation Area from the volcano that forms more than 75% of the Hawaiian Island of Maui?,1
12, Jeff Lynne,Jeff Lynne,0.0005083084106445,0.5034840106964111,1.0,1.0,1.0,"""Slipping Away"" was written and produced by which English songwriter born on December 30, 1947?",1
13, Harriet Doerr.,Harriet Huntington Doerr,0.0005083084106445,0.7387590408325195,0.833359956741333,0.8,0.8,Who was born first Harriet Doerr or Nora Roberts ?,1
14, NSYNC,NSYNC,0.0005054473876953,0.3915174007415771,0.9999999403953552,1.0,1.0,"Who as an American boy band formed in Orlando, Florida in 1995, that released a song on January 11, 2000 as the first single from their second studio album ""No Strings Attached""?",1
15, Atlantic,Atlantic Coast,0.0005156993865966,0.2596132755279541,0.8440305590629578,0.6666666666666666,0.6666666666666666,The city in which The Analyst is based is located on which coast?,1
